番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
32,おすすめしない,3,"レートシステム、パークの必要性のなさ、剰えガチャやデッキ作成の改悪。
上記の不満があるが何よりもバトルがつまらない。

・特定のカードにパワーが偏りすぎている。
・クラスのコンセプトの崩壊。
・人試合にかかる時間の増加。
・理不尽な運要素。
・バランス調整は来るが根本的な解決はしない、それどころかローテーションの実装によりデッキの幅が狭まる。

（リリースを）散々待たされてこれか．．．と言うのが率直な感想だ。
※基本的にモバイルやＥＰＩＣでプレイ。",negative,バトルつまらない,ゲームシステム,カードのパワーバランスの悪さ、クラスコンセプトの崩壊など、バトルシステムに多くの不満が述べられているため。
33,おすすめしない,323,"周年で配布を色々やっていると聞いて（配布内容に関しては「相変わらずケチくさいなサイゲ」とだけ）半年ぶりに触ってみたけど、配信者が大会でドラゴン使った際に相変わらず悠長に3ターン目にランプ灯してるのを見て変な笑い出ちゃった。

全体的に長期戦寄りの環境の中、瞬間火力は高いけど継戦能力がなく中盤以降早々に手札枯れが起きやすいドラゴンはのんきにランプやってないでアグロ威圧疾走寄せくらいしか勝ち目無いのに、どのクラスも回復手段や威圧排除手段豊富になってるもんだから本当に立つ瀬がない。
ドラゴンに限った話ではないが、だいぶ以前からクラスコンセプトが崩壊してるし、それを改善させる気配は感じられない。残念だけど運営陣はカードゲームの環境を作るセンスが根本的に欠けている。
パッションで誰でも勝てるようにダメージガチャカードを増やしてるのも、そもそも運ゲーになりやすい構造のカードゲームで勝敗をいきなり何の脈絡もなく出てきたカードのガチャ運で決するのはゲーム性放棄でしかない。もういっそのこと1コスでリーダーにダメージが1～20までランダムで飛ぶニュートラルカードでも実装すればいいんじゃない？冗長気味だって批判も開始数秒のじゃんけんで決められるようになる。

ローテーションやスターターなどの縛りデッキマッチングも良かれと思って導入しているんだろうけど、実際には新規にも古参にも優しくない。ライト勢が脱落していくのを助長するだけだと思われる。ライト層を多く取り込んでマッチングしやすさを担保するのは大前提だったのでは？
そのつもりでやっているなら全体的に戦略ミスだし、そういう目線が持てないまま運営しているならこの先も環境改善は無理かな。",negative,カードゲームの環境,ゲームシステム,カードゲームのバランスが崩れており、運要素が強すぎるため作者は運営陣に失望している。
34,おすすめ,6,subarasii,positive,subarasii,その他,「subarasii」は日本語で「素晴らしい」という意味であり、肯定的な感情を表しているため。
35,おすすめしない,24,"1周年で復帰したがただのメンコだった
旧シャドバの劣化ゴミゲー",negative,旧シャドバの劣化,ゲームシステム,旧シャドバと比較して劣っている点を指摘しているため。
36,おすすめしない,307,"環境を変えるためとはいえ一戦一戦が長くなるようなカードや組み合わせが増えすぎたせいで
一戦気軽にランクマッチとかは出来ない
社会人の休憩時間に一戦とかはほぼむり
尚且つ現状はそういうネチネチした8から9PPまでだらだら試合運んでOTKねらう、または相手のリソースを切らせるみたいな陰湿なデッキが環境TOPだから余計なのかもしれないけど
ローテーションは完全に時間を無駄につかってストレスためるクソゲーと自分は認識しましたね
頭ワンドリでもいいからサクサク潜れる環境をどっかのタイミングで実装してほしいわ

それでも遊戯王よりはまだカードゲームしてます
友人と遊ぶのがちょうどいいくらいですね
すすめられるかどうかで言えば薦めないけど",negative,一戦の長さ,ゲームシステム,一戦が長くなりすぎて、気軽にプレイできないため。
37,おすすめ,79,"カードゲーム初心者なので楽しいです。
持っているカードをあれやこれやと組んで、エース先輩の指導を受けながらカードの使い方を教わってます。
自分でデッキ構築を楽しめて勝ち負けにこだわらない人でしたら、おすすめできます。

みんなが使っている同じ強いデッキを組んでただ勝ち進んでいきたい人は、
ストレスが溜まりそうなのであまりおすすめはできません。

個人的には勝ち負けよりもマナーの悪い人と当たったときのほうがかなりストレスが溜まります
ランダムマッチ相手に対するブロック機能はないのでしょうか・・・",positive,デッキ構築,ゲームシステム,カードを組み合わせてデッキを作る楽しさを述べているため。
38,おすすめしない,808,"無印からやってきました

WBではマシになるかと思ってましたが
新パック出るごとにつまらなくなる一方

はっきり言って今からやるのはおすすめしません",negative,つまらない,ボリューム・価格,新パックが出るごとに面白さが減っていくため、おすすめしないという意見である。
39,おすすめしない,123,エロメンコ,negative,映画化,外部要因・映画化,映画化に不満を述べているため。
40,おすすめ,925,まったりやる分には面白いです,neutral,ボリューム,ボリューム・価格,「まったりやる分には」と表現されているため、ボリュームは少ないと感じている。
41,おすすめ,20,cvx2SKM,positive,恐怖感,演出・グラフィック,ゲーム内の描写や雰囲気から強い恐怖を感じたため。
42,おすすめしない,137,"お勧めしません。
Ｃランク辺りまでは足りない手持ちのカードで自分の考えたデッキで勝つのが楽しいですが、Ｂランクからはだんだんと完成した強いデッキを使う相手が出てきます。
そのデッキに勝つには相手が使っているデッキを使わなくては勝てませんが、使えるようになるのは遙か先です。
Ａランクになれば強いデッキしかほぼ見かけなくなります。
こうなると、デイリーミッションのランダムマッチ勝利も数日間達成できないなんて事はざらに起きるようになります。
運営はこの状況を少しでもごまかそうと初期カードしか使えないモードを用意していますが、こっちはカードがそろっている分、勝ち方を熟知している相手には手も足も出ません。
好きなカードで勝つという遊び方ができなくなっています。
イラストがすばらしいゲームではあるのですが、中にはレジェンドカードであるにもかかわらず活躍の余地がないカードがあったりしてやる気がそがれます。
このゲームを楽しく遊べるのは初期の頃だけと思いましょう。
それ以降は修羅の道です。",negative,強いデッキ,ゲームシステム,ランクが上がると強いデッキを使う相手が増え、勝つためには同じデッキを使わなければならず、好きなカードで勝つという遊び方ができなくなってしまうため。
43,おすすめしない,144,課金した者が勝つ,negative,課金要素,その他,ゲームが課金者に有利であると述べているため。
44,おすすめ,355,,neutral,データなし,その他,レビュー本文が空です。
45,おすすめしない,269,"一言でいうとカジュアル勢、あまり勝てない人向けには作られていないということですね。

【１周年の2pickグランプリでもらえる、記念スリーブ、これが決勝に進出できないともらえない】
①他に入手手段がない、②挑戦回数の制限あり、③ラウンド２で５戦中３勝しないと決勝にいけない
カジュアル勢にはこれがとてもきつく、ほぼ無理ですね。
なんで記念スリーブを、勝てないともらえない仕様にしたのでしょうか・・

あまり勝てないなり１年近くやってきてはしましたが、記念スリーブの件だけは、とても残念でした。
１周年記念も、勝てない人はお断りということですね・・・

その他の点は以下の通り。
①デイリーに勝利数があるので、時間がかかりすぎる
　（ある程度上手くないと勝てないので、気が向いたときにふらっと楽しむような形にはなっていない）
②有用なデッキを作るのに、1か月くらいはかかる
お試し的なのはありますが、そもそもランクマッチは、カード揃ってることが前提の対戦ばかりなので、揃うまで時間がかかるのと、それまで中々勝てないことが重なり、気軽に楽しめる形にはなっていないです。
③ギルド用のGRPが、マスターランクにならないと、ほとんどたまらない
マスターランク前までと、GRPの獲得に１０倍くらい差があります。この差がなければ、マスターかどうかをあまり気にする必要はないのですが・・・。そのため、募集もマスターランク～としているところが多いです。
GRPはマスターでなくてももう少しもらえるようにしたら、とは思います（同じにというつもりはないですが、差が激しすぎる）",negative,勝てない仕様,ゲームシステム,カジュアル勢でも楽しめるような設計ではなく、勝つための要素が強いためである。
46,おすすめ,84,デッキが作れれば楽しいです　ランクを気にしないなら第〇弾が更新されるたびにリセマラして最新デッキを常に作れるようにしたほうがいいと思います,positive,デッキ作成,ゲームシステム,デッキを作ることが楽しいと述べているため。
47,おすすめしない,740,肝心のゲーム部分がつまらないので案件を配るほどセルフネガティブキャンペーンになり人が減る稀有なゲーム,negative,ゲーム部分,ゲームシステム,ゲームがつまらないと述べているため。
48,おすすめ,1252,"【シャクドウで脳汁ドバドバ】
10ターン目に最大16ダメを出せる究極のガチャカードがあり、決まった時の爽快感がすごくリーサル時にターン終了マークが消失・オプションも開けないなど先バレ脳汁ドバドバ要素が満載です。

月末には新パック・周年記念があり新規でも始めやすいタイミングかと思われます。少しでもユーザーが増えれば幸いです。よきシャクドウライフをｂｂ",positive,爽快感,ゲームシステム,10ターン目に最大16ダメを出せる究極のガチャカードが決まった時の爽快感がすごくリーサル時にターン終了マークが消失・オプションも開けないなど先バレ脳汁ドバドバ要素が満載であるため。
49,おすすめしない,136,イラストだけ綺麗なゲーム,negative,イラスト,演出・グラフィック,イラストだけが綺麗であると表現しており、他の要素に不満があるため。
50,おすすめ,98,友人と遊ぶと尚楽しいよ,positive,友人との遊び,その他,友人の存在がゲームをより楽しくする体験として表現されているため。
51,おすすめ,1159,"カードゲームは昔やっていたドラゴンクエストライバルズ以来です

とっても面白いのでみんなやりましょう
人口もかなり多く、2か月おきに新しいカードパックが出て新しい環境が楽しめます。リリースからおよそ1年が経過し、カードプールも充実してきました。演出やボイスが印象的なカードが多くて見ていてとても楽しいです。

無課金かつ始めたてでカードが揃っていない状態でもある程度の強さのデッキは組めると思いますが、そういったビギナー向けの安いデッキはネット上にほとんど紹介されないのでデッキ構築に慣れていない人にとってはそこが一番苦しい段階かもしれません。定期的にある配布やデイリークエストに加え、毎日カードが8枚無料で引けるので、無課金でも続けていけば環境デッキは作れるのですが、どうしても初めて1か月程度はカード資産が足りない状態が続くと思います。私は第5~6弾環境をほとんど触らなかったのでしばらくカード資産が不足気味になりました。毎日ログインはした方が楽しめるタイプのゲームです。

対戦環境においては競技性を重視した調整が多い印象で、個々のクラス間のバランスはかなり良好ですがゲームが複雑化してきている印象もあります。インターネット上にある環境デッキをコピーして勝率を追い求めていくのもやり甲斐があって楽しいですが、毎試合勝とうとするとどんどんグループやクラスレートが上がって勝ちづらくなって辛いので、私はアンリミテッド（スタン落ちがないレギュレーション）でガチデッキとネタデッキを交互に回してカジュアルに遊んでいます。自分で組んだデッキには愛着が湧くので勝っても負けても楽しいです。",positive,対戦環境の調整,ゲームシステム,競技性を重視した調整が多い印象で、個々のクラス間のバランスはかなり良好だと述べているため。
52,おすすめしない,298,運ゲー,negative,運ゲー,ゲームシステム,「運ゲー」と表現されているため、ゲームシステムに不満を感じている。
53,おすすめしない,516,"前作を含め、それなりの時間プレイしてきましたが、今作は自分には合いませんでした。

・レーティング制が導入されましたが、上位レート帯に行くほどテンプレデッキとの対戦ばかりになる印象です。お互い大きなミスがなければ最終的に運で勝敗が決まる場面も多く、プレイしていて徒労感を覚えます。

・それならとオリジナルデッキを組み、（当然勝てなくなるので）下位レート帯で遊んでみると、多少の多様性はあります。ただ、MTGなど他のカードゲームと比べると収録カード数が少なく、デッキ構築の自由度に物足りなさを感じました。

・ゲーム環境が概ね２か月に一度しか変わらず、カードプールも狭いため２か月目は飽きてしまいます。一方で、環境に追従しようとすると継続的な課金負担も大きい印象です

総じて、前作と比べてもゲーム体験は悪化しているように思います。
本質的に、上位レートでテンプレ同士で運ゲーをするか、下位レートで余地は少ないなか工夫するかの二択で、今後カードプールが変わっていったとしても、楽しく遊べなさそうだと感じました。

また、勝ち確の場面で煽ってくるプレイヤーも多く、不快でした。

以前は楽しめていたシリーズだからこそ残念です。",negative,運ゲー,ゲームシステム,上位レート帯ではテンプレ同士の対戦が多く、運で勝敗が決まる場面が多いと感じているため。
54,おすすめしない,546,"無課金でも”""真面目に続けてさえいれば""”環境デッキをいくつも組めるのは評価点
ただ、
・競技性が高すぎて遊べるカードがほぼない
　　├複雑なコンボを介するデッキが無く環境がメンコ化
　　└意外性のあるデッキが生まれにくく、面白味に欠ける
・ソロモードにやり込めみ要素が常設されていない(せめてバトルダンジョン常設してくれ)
・アンリミ、キャンペーン開催外の2pick、フリーマッチの人口が少ない
・環境デッキ内の高レアカードが増え新規復帰勢がすぐには環境デッキを組めない
・同シーズン中に2種類も最高レアがナーフされたにも関わらず、
　未だ環境最上位に居座っているナイトメアが心底不快(私怨)
・お祭り感のあるぶっ飛んだレギュレーションのイベントがとても少ない
等々、、、
不満点を一言にするなら
フレ戦以外でカジュアルに遊べる場が無いor過疎なのがどうにかならないと苦痛",negative,環境デッキ,ゲームシステム,環境デッキがメンコ化しており、面白味に欠けるため。
55,おすすめしない,790,"ライトに遊ぶには向いていない仕組みだなと思いました
月ごとのバトルパスを全て獲得するのも一苦労ですが、思ったよりデイリー報酬の回収も大変です
競技性を押し出しているだけあってか、システム面は全体的に真剣に取り組める人に向けているように思います

ゲーム内容については2ヶ月毎の新規カードの収録数が少なく、2週間ほど経過もすれば見慣れた進行のゲームが続くように感じ始めてしまうので対戦回数が少ない私にすら飽きが来てしまうことが残念でした

またeスポーツとしての面をプッシュするのは結構なのですが、多くのプレイヤーは2デッキBO3だのとは関係のないランクマッチしかプレイしないので、aやbに勝てるマイデッキAをさらに調整してcも見れるようにしつつ、Aで勝てないdに対してマイデッキBを用意しようみたいな戦略の楽しみについては全く関係ないんですよね
きっと真剣にプレイしている人たちにとっては奥深いのでしょうがライトに遊ぶには狭くて浅い、なのでとても退屈に感じるゲームなんだと思います

ローグライトモードのような新たな一人プレイ向けの遊び方の提示など頑張っているとは思います。ですがバトルパスがオンラインマッチで進行するようになっていたりデイリーにランクマッチで勝利するミッションがあるなど、やはり前提として対戦が必須の設計になっているので所詮はオマケモードなのかと感じさせてしまうのはよろしくないです

プロ選手のリーグ？であるとかオフライン会場を使った大会、ドラフト？などを追っている方々にとっては楽しいゲームタイトルなのかもしれませんが、日々ランクマやゲーム内の週末大会がメインの私には全く関係のないイベントばかりでなんのワクワクもありませんでした。このゲームはワクワクする瞬間の喜びよりも退屈な時間の陰鬱の方が大きかった気がします

とりとめのない書き方になりましたが、結論としてこのゲームをおすすめできない理由として致命的なものは「退屈を感じさせることが多かったこと」です。カジュアルに遊んでいてすらこう感じるのは結構なことだと思います
新規に収録されるカードの少なさに加え、デザイナーの想定を飛び出さない程度のパワーあるいはシナジーに抑えられたカード、と思いきやこれダメじゃないかと感じたカードはナーフ対象、そして貴重な新規枠の中で全く使われないカードの多さ、使われないカードの強化を運営は謳いながら救われないこれら。これらの要素からプレイヤーの期待は短い期間の間に退屈へと容易くシフトし、これを新パック登場ごとに繰り返すことで失望していくことになると考えています

精度を高めてアベレージの上昇を突き詰める方にはよさそうですが、気軽におすすめするには不足が大きいゲームだと思いましたので1周年手前段階の評価としてはこれでお願いします。ここまで読んでくださりありがとうございました",negative,退屈,ボリューム・価格,新規カードの少なさや、使われないカードの多さから飽きを感じやすく、プレイヤーの期待を裏切る要素が多いと述べているため。
56,おすすめしない,111,"gomi
kasu",negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容と関係ないため不満を述べている。
57,おすすめしない,250,"自分の使っていたクラス2つが同時に7PPで運ゲーを仕掛け始めるのが試行錯誤の末、最適になってしまった
効果がランダムなカードに勝敗を委ねるのは楽しくない",negative,運ゲー,ゲームシステム,効果がランダムなカードに勝敗を委ねられるため、試行錯誤の楽しさよりも運要素が強すぎると感じている。
58,おすすめしない,969,"カードゲームではなくガチ勢が競技として使うゲーム。
気軽に好きなデッキで遊ぼうとするとストレスしかないので以下のことができる方のみプレイをお勧めします。
・運負けでキレない
・勝率至上主義
・長時間ランクマを回せる時間がある
・言い訳しない
・試合ごとに反省し、プレイングを修正できる向上心がある
・ランキングに載ることで承認欲求が満たせる

カジュアル勢は本当にやめた方がいいです。息苦しいゲームです。",negative,勝率至上主義,その他,レビュー者は、勝率至上主義者向けのゲームだと述べており、カジュアル勢にはおすすめしないと言及しているため。
59,おすすめしない,199,uiui,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
60,おすすめしない,186,gmロイヤル消えろおもんない,negative,ボリューム不足,ボリューム・価格,「gmロイヤル消えろおもんない」という表現から、ゲームのボリュームが少なく面白くないと感じているため。
61,おすすめしない,0,ルールを理解するにめっちゃ時間かかる,negative,ルール理解,その他,ゲームのルールを理解するのに時間がかかったため。
62,おすすめしない,764,所詮運ゲー,negative,運ゲー,ゲームシステム,「運ゲー」と表現しているため、ゲームシステムに不満を感じている。
63,おすすめしない,496,a,negative,映画化,外部要因・映画化,映画化に関する不満が強く、ゲームそのものへの評価は低い。
64,おすすめ,904,a,positive,恐怖感,演出・グラフィック,文章全体から、ホラー要素が強く表現されており、ゲーム体験を通して恐怖を感じたことが伺えるため。
65,おすすめしない,1099,ストレスしかないね,negative,ストレス,その他,「ストレスしかない」という表現から、ネガティブな感情を抱いていることがわかるため。
66,おすすめしない,1523,ち〇ぽにゃ！！！,negative,組織の問題,外部要因・映画化,ゲームの内容ではなく、開発者の問題点を指摘しているため。
67,おすすめ,20,ゲーム内容は面白く、カードもデイリーミッションやイベントで無課金である程度集めれる。しかし、不満点が２つある。１つ目は、カードの分解が3枚以上ないと分解できないシステム。２つめは、前回と異なり１パック引くのが１００コインから５００コインと高くなっていること。この２つのせいで無課金勢は頑張ってもローテーションではデッキ作成に時間がかかることやデッキを１つぐらいしか作れなくて飽きてやめるような気がする。,negative,カードの分解システム,ゲームシステム,無課金勢にとって、カードの分解が3枚以上ないとできず、デッキ作成に時間がかかるためである。
68,おすすめしない,273,ナイトメアが強すぎる理不尽,positive,ナイトメア,演出・グラフィック,「ナイトメアが強すぎる」という表現から、恐怖を感じさせる演出に肯定的な感情を抱いているため。
69,おすすめしない,349,究極に時間の無駄,negative,ボリューム不足,ボリューム・価格,「究極に時間の無駄」と表現しているため。
70,おすすめしない,382,"シャドウバースビヨンドは特に、運の要素が大きく、手札や相性が悪い試合では、どれだけ最適なプレイをしても勝ち筋がほとんど残らないことがあります。

友人と気軽に楽しむ分には面白いゲームだと思います。しかし、ランクマッチを長時間回すようになると、このゲームそのものが好きでない限り、徐々につらく感じてくることがあります。

特に勝敗を重視する環境では、実力だけではどうにもならない場面も多く、プレイ時間に対する満足感を得にくいこともあります。そのため、カードゲームが本当に好きな人でなければ、時間を費やす価値を感じにくいかもしれません。",negative,運の要素,ゲームシステム,運に左右されやすく、実力だけでは勝敗が決まらないためプレイ時間に対する満足感が得にくいと述べている。
71,おすすめ,241,"前作初期をプレイしていて、新作が出たので再び遊んでいますが、相変わらず面白いです。
カードゲームなので強いデッキ、弱いデッキがあるのは当たり前ですし、勝ちたいなら強いデッキを使えばいいと思うし、楽しみたいのなら使って楽しいデッキを使ってプレイすればいいと思います。
運ゲーだなんだといわれていますが、こちらもカードゲームなのでしょうがない、実力ゲーをやりたい方は格ゲーをお勧めします。
微課金（２万程度）ですが、十分にカードもそろえられているので満足です。
無料ゲームでこれだけプレイできて、楽しめて（敗北は苦痛）いるので高評価です。
P.S.「やめてください！プレミ警察さん・先ドロー警察さん、私は無罪です！」",positive,カードゲームシステム,ゲームシステム,カードゲームのシステムが面白く、作者も楽しんでいることが伝わってくるため。
72,おすすめしない,9,おもんない,negative,ボリューム不足,ボリューム・価格,「おもんない」という表現から、ゲームの内容に満足していないため。
73,おすすめ,455,キャラデザが強すぎる,positive,キャラデザ,演出・グラフィック,魅力的なキャラクターデザインに好印象を持ったため。
74,おすすめしない,186,おもしろくない,negative,おもしろくない,その他,文章全体が「おもしろくない」と述べているため。
75,おすすめしない,14,カードを1から集めることになるため、過去作と連携はできるが連携する意味は非常に薄い。　別ゲームと理解すれば仕方ないのだが、初期デッキが弱く（微妙）ソロプレイできる範囲でも詰むため、継続心は生まれない。　毎日のログインにより無料でカードが配られてはいるが、楽しめるまで相当な時間を要することになる。　初期デッキはそれなりに（初めてでも）強いデッキでなければ新規勢の継続意欲は生まれないため意味をなしていない。　そんな環境のため、ログインのみで魅力あるカードのコレクターどまりになる。　デッキも偏りやすく、デッキ構築の楽しみも薄い。（前作のほうが間違いなく楽しめた）　私のような無課金プレイヤーは楽しめない作品。,negative,初期デッキ,ゲームシステム,初期デッキが弱く、ソロプレイでも詰むため継続心が生まれないと述べている。
76,おすすめ,50,勝てないとイライラするけど、無課金でも全然勝てないということはないし、デッキもそれなりに作れるので面白いです,positive,ゲームシステム,ゲームシステム,ゲームバランスとデッキ構築の要素が面白いと感じているため。
77,おすすめしない,168,面白くなかった,negative,面白くなかった,その他,文章全体から「面白くなかった」という感想が直接的に伝わってくるため。
78,おすすめ,153,暇つぶしに最適です。,neutral,ボリューム,ボリューム・価格,「暇つぶし」という表現から、ゲームのボリュームは小さいと推測できるため。
79,おすすめ,415,ネットフリックスのお供にどうぞ！,neutral,Netflix,外部要因・映画化,Netflixとの相性が良いという表現から、ゲームそのものに対する評価は中立であると考えられるため。
80,おすすめしない,581,"普通にやってて辛いしやめたいクソゲーなのにやめられない
助けてくれ",positive,中毒性,ゲームシステム,「やりたくないのにやめられない」という表現から、ゲームシステムに引き込まれる中毒性を示唆しているため。
