番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
26,おすすめしない,46,"パイロットレベル(PL)をカンストさせたので、現時点(20230526)での感想を残しておきます。

私は旧HAWKENプレイヤーです。メックのデザインに惹かれて始めた後、PvPにドハマリしました。今回の早期アクセスには少々出遅れたのですが、おかげで心の準備ができた。HAWKENだと思わず、新規のメカゲーだと思ってプレイしてみました。

PLカンストの25、機体をMk5まで上げ切りました。F2Pかつ早期アクセスのゲームとしては悪くないです。

このゲームの良い点
・旧HAWKENのメックの親戚みたいな子たちがいる！

このゲームの悪い点
・課金したいと思うタイミングが一度もなかった。

有志によるHAWKENの2次創作あるいは郷愁に浸るための墓地だと思えば好評価です。営利目的のゲームとしては普通未満です。旧HAWKENプレイヤーとして言いたい文句については、皆様が既に言い尽くしているので省略します。

課金タイミングについて。

現状の当ゲームは、Patrolで戦闘して設計図と素材を集め、それらから新しいメックや武器を作り、強化や改造を施し、また戦闘へ行くという流れになっています。この流れ自体はよくできている。

課金は、不足しがちな素材集めを省略したい時にScripを支払う形です。素材ごとに交換レートがあります。これも悪くない。特に、改造で必須のGiga Shardについてはドロップ率の調整が絶妙で、欲張って色々と手を出すと足りなくなるけど交換レートが良いためつい使ってしまいがち。……に、なると思っていた。ならなかった。

当ゲームのメインコンテンツは、メックによる戦闘だと思う。新造や強化や改造も楽しいが、それらは結局のところ戦闘のためだ。しかし、課金して倒したいほどの美味しい獲物が、いない。

どういうことか？

PLを上げると、新しい設計図や素材が(主に依頼の)敵や資源ノードからドロップされるようになる。ただし、それらの等級以上のTLでなければならない。TLはThreat Level脅威度。主に、敵を倒すことでTLを上げられる。TLが上がると敵が強くなる。たぶんTL10刻み。

このPLとTLのバランスが致命的にダメ。低PLの時に頑張って高TLの敵を倒しても、TL相当の報酬を得られない。プレイ体験としては、延々と雑魚を狩り続けることになる。雑魚しか狩らないから課金してまでメックを強化する理由がない。

期待としては「課金でメック強化→強敵倒して素材いっぱいゲット→もっと強化→俺のメックTUEEEEE」なら気持ちよく課金できたと思うのですけど、実際は強敵に挑むメリットが一切ない。いや、素材的なメリットの一切ない強敵との戦闘でないと、全く緊張感の無い収穫作業を続けるしか無いので、任意に摂取できるスパイスだと思えば良いですね。いえ、ごめんなさい。全く良くないです。頑張っても無報酬ですから徒労です。

課金の動機になる報酬の設計という、F2Pゲームで売るなら主軸になるはずの所が致命的にダメ。初動で出してきたのだから、たぶんこれがこのゲームの基本設計。少なくとも私にはあわないし、人に勧めることも出来ない。

マルチ実装までが私的な猶予期間だ。そういう意味では現時点で配信したのは良い判断だったと言える。フィードバックで少しでも良い方向へ行ってくれることを願う。",negative,報酬設計,ゲームシステム,課金して強化しても強敵との戦闘にメリットがないため、モチベーション維持が難しいと述べている。
27,おすすめしない,0,再誕ではなく死産しました,negative,死産,その他,ゲームが期待通りに完成しなかったことを「死産」と表現しているため。
28,おすすめしない,3,"単純に言えばおもんない

特別バグとはないけどシンプルにおもんない
爽快感もない、斬新さもない、もっとプレイしたいと思うような”期待感”もない

ロボに乗って、ミッションに出て、敵を作業的に倒し、出てくるパーツを必死にかき集めて
ファクトリーに戻って、ドロップアイテムから装備を作って、またミッションに出る。今んトコこれだけ。

まず、ロボバトルゲーなのに「ドロップしたアイテムを走り回って集めないといけない」のが苦行。
これだけでテンポがめちゃくちゃ悪い。素材の種類もあんなに必要ない。もっとシンプルでいい。

レベルが上がると「今持ってた装備の上位装備」みたいなのが出てくるのがダルい。
それ強化引き継ぎでいいじゃん。なんで別枠にしちゃうわけ？

とにかく、対戦ロボゲーとして何もかもテンポが悪い
下手にMMORPGみたいな要素が入ってるせいで全然本来楽しみたい部分を楽しめない。

正式マルチに期待します",negative,テンポの悪さ,ゲームシステム,ドロップアイテムを集める必要性や、レベルアップによる装備の別枠化などがテンポを悪くしているため。
29,おすすめしない,0,豆鉄砲をパラパラ投げつけるゲーム。,neutral,ゲーム内容,その他,ゲームの内容が抽象的で、感情的な反応を引き起こす要素がないため。
30,おすすめしない,21,最近流行のAI自動生成ゲームです。AIには物事の良し悪しの判断がつかないので酷評されているんだと思います。AI相手に良かった点を挙げるのは余り効果がないので悪い点を箇条書きすれば将来的に改善されると思います。,negative,AIの評価,ゲームシステム,AIが物事の良し悪しを判断できないため酷評されていると述べている。
31,おすすめ,2,"この手の無料ロボゲーでは一番、好みのラインを直撃してくれた。旧HAWKENのイメージが強いユーザーには不評なのも分かるけど、たまにはこういう、PVEタイプのものがあってもいいと思うので〇。（タイタンフォールやればいいんじゃないかとも思うけど）
英語メッセージのフォントが小さいのでミッション中のゲーム内情報についてほとんど分からないのは困りものだけど、随時なにかしらのガイド表示が出るのでそんなにシビアでもない。
日本語化されるくらいのところまで評価が高まって欲しい。これは楽しめるゲームになり得ると思う。",positive,PVEタイプ,その他,レビュー者は「たまにはこういう、PVEタイプのものがあってもいい」と述べているため。
32,おすすめしない,0,"Hawkenの皮をかぶった偽物

マウス感度設定がきいてる気がしないハイセンシ仕様
ラグがひどくブースト使うと画面が飛ぶ
チュートリアルのロビー操作系で進行不能多数発生

今やる価値なし",negative,ラグ,ゲームシステム,レビューではラグのひどさを指摘し、ゲームプレイに支障をきたすとしています。
33,おすすめしない,0,"少し触った程度だがゲーム性がとにかく単調。
豆鉄砲で戦うジャンプで飛び跳ねるだけの戦闘と（初期装備だからだと思いたいが武器の切り替えがないので恐らく・・・）、
ちょろっと敵が出てきてその後移動させられ、また同じような敵が出てきての繰り返しのゲーム性が組み合わさり最強に見える。
戦闘は全体的に情報量が乏しく、着弾、被弾の音やエフェクトが無いのか小さいのか、HPゲージ以外での判断が難しく、
アイテム回収範囲が狭い上に、回収時に音がないので、拾ったかの確認も視点移動が必要である。
UIは全体的に酷く、特に戦闘UIは情報が散らばりすぎていて視線移動が煩わしい。
早期アクセスは18ヶ月を予定しているらしいが、現状ではゲームデザインがAnthemと似たようなスメルが漂っているので、
前作のファンの批評を分析した結果がこれではスタッフ入れ替えないと無理なんじゃないかなという気がする。",negative,ゲームシステム,ゲームシステム,単調な戦闘システムと情報量の少なさ、UIの使いづらさが挙げられているため。
34,おすすめ,7,"前作未プレイの新規ユーザー
アーリーアクセス 0.1.0 (2023/5/22時点)
現在配信中のStoryクリア済み。探索モードプレイ中
XBoxコントローラーでプレイ

前作比較はないので単純に１作品としての感想。
まだ0.1.0で普通に遊べる状態ということでおススメにしておきます。
開発者のモチベが上がって今後さらなるブラッシュアップが行われることを祈りつつ。
勿論現状の状態でリリースの場合はおススメするには色々足りません。
ロードマップは提示されたので、その進捗と改良により評価は今後変わる可能性があります。

まず開発者に言いたいのは「メックの動作もっと鈍重にして！」
メックは人が初めて手にした歩行型ロボットで日本アニメによくあるようなスーパーロボットではない認識です。
なのでジャンプ着地時は脚部に負荷がかかり沈みこみによる隙が生じて復帰までのタイムラグ発生位が嬉しい。軽快な動作のロボットゲームは他作品に任せましょう。せっかくメックが題材なので勿体ない。
勿論強化の末、軽量級メックが防御力犠牲にして機動力アップは有り。
あまり遅すぎるとオープンワールド探索がある関係上バランスが難しいけど
そこは開発者さんに頑張っていただくということで。

プレイ当初設定低く変更(変わってる感じがしない)してもエイムスピードは速すぎる印象でしたが慣れてくると意外と気にはならなくりました。
対歩兵&迎撃システムに対しては常にエイムを動かすのではなくある程度位置を決めて
前後横移動で調整。対メックは結構的が大きいのでガンガンエイム使っていく。
そんなプレイに落ち着きました。

ミッション中、弾の補充が結構容易なので軽機銃系はそのまま、重火器は特殊弾扱いで
ミッション開始時に携帯かミッション中一部状況で補充可位がベター

新しい装備品を開発して自分のメックを強化していくのはワクワクするけど
強化後自分のメックを駆ってチャレンジする充実したエンドコンテンツはPvEメインを謳っている本ゲームには重要な部分だと思うので開発頑張ってください。

敵メックAIはもっと多種多様な動きをしてほしい。現在は棒立ち状態が多いので要改善。

テキストだけでもリリース時には日本語があると嬉しい。
ログとしてはテキスト読み返しできるけどストーリーテキストは結構早く消えちゃうので
リアルタイムで理解するのにはあると嬉しい。あと日本ユーザー増えるためにもね",positive,メックの動作,ゲームシステム,メックが鈍重な動きをするようにしてほしいという要望から、ゲームシステムへの期待感が伺えるため。
35,おすすめ,18,"Hawken未プレイです。
前作経験者の人には不評のようですが、メカものFPSとしては動かしていて楽しいです。

現時点でストーリモードは6ステージのみであり、
クリア後はフリーモードでマップをうろうろしつつ素材や設計図を集める→定期的に発生するランダムミッションをこなす。
という流れになっています。

素材(と設計図)を集めて新しい機体や武器などを作成、強化していくわけですが、その素材がなかなか集まりません。
特に武器用の素材が集まりにくいので、色々な武器を作成して試すこともままならず、ひたすら同じ武器でフリーモードを繰り返すのは苦行でしかありません。

課金しろということなのでしょうが、シブすぎて課金する気にもなりませんね。

この苦行感、かのア〇セムを思い出してしまいました･･･。

かなり粗削りではありますが、Early Access且つ無料なので期待を込めておすすめ評価にしておきます。",positive,メカものFPS,ゲームシステム,メカものFPSとして動かしていて楽しいと述べているため。
36,おすすめしない,7,"このゲームをプレイしようとした者へ。

射撃音や移動音に重厚感はなく、やたらとヌメッとした動きをする棺桶に乗って、
ひたすら両手の豆鉄砲をばら撒く。そういうゲームだ。
このゲームは今のところ本当に[b]「ガワだけ旧HAWKEN、1%体験セット」[/b]だ。
とてもじゃないが、旧HAWKENの亡霊としてオススメできるかと聞かれて首を縦に振ることはできない。

武器や装備の組み合わせに気を使い、時にミサイルやライフルから火炎放射器まで使う。
ニトロを吹かして機体に無理をさせたり、背中の巨大な盾で猛攻を耐えたり。
まるで自動車のメーターのような古臭いUIを血眼になって見て自分の状況を確認する。
スラスターからエンジン、武器に至るまであらゆる熱量管理でヒィヒィ言う。
燃料の残量におびえながらスラスターを吹かし、たまにはリペアドローンを飛ばして休んだり、
仲間とおちゃめなエモート（こんないかついメックですらそうみえる動きをする）で遊んだり……

そんなことは[b]１ミリたりともない[/b]。

ただそれでも、コックピットに光が灯り、ズンズンと進む様を体験して。
目の前でメックやドローンが雨あられのように弾丸をばら撒きながら飛び回るのを見て。
それを走り回りながら、ヒットアンドアウェイや真正面から叩いたりして、
たまにスラスターで飛びながら迎撃する。
引き金を引けば左右の武器が目の前で火を噴き、ガコンガコンと排莢し、
そして弾が無くなればガシャガシャとリロードする。

ただこれだけでもなんだか夢のような、カッコよさというかなんというかを感じられると思う。

これは旧HAWKENの1%か。いや……それにも満たないかもしれない。

それでも、ぜひ過去のHAWKENを今の力で蘇らせてほしい。そう強く願っている。

P.S.
熱量管理の概念が無くなってしまったため、
私の愛機だった「Incinerator」は文字通り「焼却炉行き」してしまった……
枕をいくら濡らしても足りないよ。",positive,熱量管理,ゲームシステム,熱量管理の概念がなくなったことで、過去の愛機「Incinerator」が使えなくなったという感情から、そのシステムへの強い想いが伝わってくる。
