番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
16,おすすめしない,7,"Rocksmith+ is boring because most of the songs are unknown to me. I think that rock and pop music can't exist without artists and songs from the 1960s to the 2000s. Personally, I want songs by VAN HALEN, MSG, White snake, RATT, Ozzy Osbourne, Earth wind & fire, Mr. BIG, TOTO, Hlloween, Pretty Maids, Ed Sheeran, Lukas Graham, and Gavin DeGraw...etc.",negative,楽曲選曲,その他,レビュー者は、ゲームに収録されている楽曲が自身の好みに合っていないと述べているため。
17,おすすめしない,29,"ソフト自体の出来は、Rocksmith/2014ではBluetoothをONのままだと起動できない謎現象が
Rocksmith+では直ってたのは良い。
あと、音声出力を固定できるのも地味に便利。
悪くなったのは６弦と３弦が見分けづらいところ。

肝心な楽曲は、無料で使用可能なのがとても少ないのと、課金したところで以前のrocksmithに含まれていた
楽曲はほとんど無いという悲惨さ。日本のサービス開始遅らせた意味あったのか疑問。",negative,楽曲数,ボリューム・価格,無料で使用可能な楽曲が少なく、課金しても以前のRocksmithに含まれていた楽曲が少ない点が不満であるため。
18,おすすめ,25,"Rocksmith2014も持ってるけど、毎回サウンドカードの設定がおかしくなるので起動しなくなりました。
アニメのぼっち・ざ・ろっく！を見てまたギターやりたくなりこちらを購入してみました。
曲数が少ないとかで不評の嵐ですが、へたくそな自分としては年間10000円足らずで本格的な練習ができるので満足です。
曲数は自分が上達した時に増えていればいいかなって感じです。",positive,本格的な練習,ゲームシステム,本格的な練習ができる点が満足のいく要素であるため。
19,おすすめ,21,"ギター初心者＆ピアノは経験者です。
[strike] サブスクリプションは契約していませんが無料でもある程度練習はできます。 [/strike]
契約しました。約１週間ごとに曲の追加が行われているので最初の頃よりかは結構増えているかと。
やりたい曲が無いとやる気は起きないと思いますが、初心者の方はまず無料曲が完璧に弾けるように練習するのがいいでしょう。
圧倒的に不評になっていますが、１人で楽器に向かって練習するよりも圧倒的に楽しいことは間違いないです。
まだ日本ではサービス開始したばかりなのか曲数は海外と比べて圧倒的に少ないのが残念。
楽器のPCとの接続に関してはリアルトーンケーブルを持っていたのでエレキギターはPCにつなげるだけで認識してくれました。
電子ピアノの方はPCとつなげるUSB（Amazon製のもの）したものにTypeCに変換するケーブル（こちらもAmazon製のもの）を繋げただけで認識しました。TypeCへの変換は必須ではありません。空いているポートがTypeCだっただけです。
しかしアプリでの接続はうまくいきませんでした。
今後さらに曲が増えるとうれしいですね。できればもっと有名なものも・・・",positive,練習の楽しさ,その他,楽器に向かって練習するよりも圧倒的に楽しいと述べているため。
20,おすすめ,100,"先日100,000ノート超えましたので追記

◎良いところ
・一人でやると虚無でしょうがない運指の基礎練を
フィードバック、サポートする存在が有るだけでこんなに続くものかと感動しました。
今作は学ぶ・エクササイズのあたりが個人的にナイスです。初心者にはここをまずやらせたいです。

・今日のノートヒット数という要素が良い
ホーム開いて上真ん中にあるやつです。
正しく弾けた数が加算されていくので、貯金してるみたいでモチベに繋がります。
今日は3000になるまで練習しようとか一日の止め時とか目標に使えます。
出来たら過去の積算グラフとかがあったらもっと良いな。

・色弱モードがある（設定→自分の楽器→色のプリセット）※個人的にWindows11環境なら、OSの設定→アクセシビリティ→カラーフィルター→赤緑（緑色弱、緑色覚異常）で自然に鮮やかに認識できるようになったのでこちらのがおススメ。
色弱持ちは色々いじってみてください。

・過去作より対応できるプラットフォームや接続方法が多く、
時間や場所を選ばない(なんなら頑張ればトラベルギターとiPhoneで旅行先でも出来る)


✕ダメなところ
・日本国内では曲数が　圧　倒　的　に　少ない。

・スケールでのいま弾いてるスケールについての説明不足。
歌詞機能あるんだから今弾いてるスケールを表示させてあげたほうが良かったのでは？

・レイテンシ問題
バッファ設定最小まで詰めても音の遅延がエグい。
多分しょうがないんだけど16分とか弾いてると気持ち悪くなってきます。


⇧今後に期待すること
・最近ちらほらアニメでバンドブームが再熱してきているので、
ここはそういったアニソン楽曲採用とかコラボなどで軌道に乗せるチャンスではないでしょうか？
旧作よりもマルチプラットフォームで使いやすい・始めやすいのですから、
プレイヤー人口は増える土壌は揃っています。あとはユーザーが期待する楽曲を届けられるかどうかでしょう。
是非検討を！

・あと旧作持ってる人間への救済措置とか無いでしょうか？
せめて曲のインポートできたら嬉しいです。
旧作で好きだったあの曲が出来ないのはちょっと寂しい・・・
新たに譜面起こさなくていいから楽でしょ？
RSオリジナル曲のSea To Swallowとか好きだったんでまた収録して欲しいなぁ・・・

・強化したセッションモードとギターケードをいい加減収録してくださいｗ
特に旧作セッションモードはノート通り弾くのだけではなく、ギターの歌わせ方を教えてくれる良機能でした。
しかし単調になりがちなので、お手本プレイや譜例なんかも併せて表示するなど新しいアプローチも欲しいところ。

・とにかく旧作にあったインレイを追加して欲しい・・・
レスポールカスタムのようなブロックインレイが今作になくてガッカリです。
あのインレイは旧作では視認性が良くずっと使ってました。


売り切りゲーとは違った、サブスク製品ならではのアップデート追加要素を活かしたこれからの改善に期待しています。",positive,学ぶ・エクササイズのあたり,ゲームシステム,初心者向けの学習機能が充実しているため。
21,おすすめしない,0,steamでの取り扱い開始時点でリリースから2年近く経っていることを鑑みると失望しかない。,negative,ボリューム不足,ボリューム・価格,リリースから2年以上経過しているにもかかわらず、ボリュームが期待外れであるため。
22,おすすめしない,17,"曲が少ないなどは既に散々レビューで出ておりますので別の箇所で気になった場所を挙げようと思います。

【悪かった点】
・2014では右クリックで前の画面に戻ることができましたが今作はカーソルを""戻る”に持っていかないと一個前の画面に戻れません。
・パートチェンジも2014ではctrlキーですぐチェンジできましたが今作はわざわざ歯車マークをクリックして""自分の楽器""的なメニューをクリックしないといけません。
余計なワンクッションが入ったせいで画面遷移のテンポが落ちています。
・曲選択の際、ピアノ曲が混ざっていて検索性が悪いです。楽器でソートとかできないのかな？
【良かった点】
・リアルトーンケーブルからのノイズが減った。
・ＵＩが今風のおしゃれな感じになった。
・リザルト時のセリフがやんわりになった。
・tab譜表示もできるようになった為、今まで敬遠していた人でもプレイしやすくなった。

色々と進化している点はあるけれどかゆいところに手が届いてない感じがします。曲問題も含め色々惜しいです。",negative,画面遷移のテンポ,ゲームシステム,操作が複雑になり、画面遷移のテンポが落ちているため。
23,おすすめしない,1,"要常時ネット接続タイプ
頻繁にエラー落ち

2014に帰ります",negative,エラー落ち,ゲームシステム,頻繁なエラー落ちにより、プレイの妨げになっているため。
24,おすすめしない,6,"サブスク契約しましたが
ゲームを起動し直すと、また契約するように案内されます
ようは
フリー曲しか遊べないです
操作性も悪いし
期待してたのにショックです",negative,操作性,ゲームシステム,操作性が悪いと述べているため。
25,おすすめ,32,"1年サブスク課金した。レッスン行くより格段に安いし、モチベーション維持するにはちょうどいい。
サブスクはiPhoneで課金したほうが安いのでお勧め。
ほかの人の評価はあまりよくないみたいだけど、自分としては以前のRocksmith2014より格段に良くなったと思う。
起動しないときはWindows セキュリティでブロックされてるのかも（Windows セキュリティ＞ウイルスと驚異の防止＞保護の履歴）

よくなった点：
・TAB譜が表示されるようになった。
Rocksmith2014の時はノートウェイになかなか慣れなくて一定以上のレベルに上がれなかったんだけど、TAB譜のみも選択できるようになったおかげで演奏しやすくなった。

・ノイズが出なくなり、遅延もなくなった。
リアルトーンケーブルでつないでるんだけど、Rocksmith2014で苦労したノイズや遅延減少の調整ためiniファイルの変更をしなくてもノイズや遅延がない！これが一番うれしい。
自分の接続構成は、ギター＞ワイヤレスシステム＞リアルトーンケーブル＞PC＞有線ヘッドフォン。Bluetoothイヤホンにすると遅延が耐えられない。

あとスマホのRocksmith Tunerアプリで接続するのもアリ。これの場合Bluetoothイヤホンにしてもノイズや遅延がなかった。ただスマホの電池が持たん。
アプリの時の接続構成は、ギター＞ワイヤレスシステム＞iTrack Pocket＞iPhone＞WiFi＞PC＞Bluetoothイヤホン。

わるい点：
・サブスクになった。ちなみにPCで課金するよりiPhoneで課金したほうが安い！（1年サブスク　PC 41%off 13,980円、iPhone 45%off 9,900円）

・まだ曲が少ない。ただ自分的にはGrrenDayやOasisの曲があるからOk

・Rocksmith2014で自作したCDLCが使えない。代わりがWorkshopなんだろうけど、まだよくわからない。
クリエイターポータルは日本向けページがないし（海外向けはあるみたい）",positive,ノイズや遅延の減少,ゲームシステム,Rocksmith2014で苦労したノイズや遅延が解消されたため。
26,おすすめしない,0,"みんな起動できているからおま環くさいけど
何故か起動できない
起動してエラーが出るとかじゃなくて
一瞬だけついてすぐ消える
システム要件は満たしているのに…",negative,起動不能,ゲームシステム,起動できず、一瞬画面が表示された後消えてしまうため。
27,おすすめしない,18,"紹介動画の中では数千曲収録と謳っていますが、発売日時点での日本からのプレイでは実際には448曲しかプレイできず
その中にはギター曲ではない童謡やクラシックも数多く含まれています。",negative,ボリューム不足,ボリューム・価格,紹介動画と実際の収録曲が大きく異なるため。
28,おすすめ,94,"おすすめできる人：楽器を始めたてで、最短ステップで上手になりたい人
おすすめできない人：ある程度楽器に慣れており、たくさんの曲を楽しみたい人

自分は前者なので超ハマってます。

[h1] 👍ポイント [/h1]
練習に必要な以下要素が全て揃っているのが良い。
・動画によるレッスン
・曲の難易度調整
・曲のスピード調整
・正しい音を弾けるまで曲が止まるモード
・指定した区間を繰り返すモード
・「この曲を何%弾けるようになろう」というミッション

楽器接続やサブスクができないというレビューが多いですが自分はすぐできました。

[h1] 👎ポイント [/h1]
・「1980年台の曲をプレイしよう」というミッションに対して年代別に曲を検索する機能がない
・「レゲエの曲をプレイしよう」というミッションに対してレゲエの曲がない
・レッスン動画の中に黒塗りされた無のレッスンがあり、クリックすると何も操作を受け付けなくなる
・「FメジャーとGメジャーコード」レッスン動画の日本語音声が動画と全く無関係のものになっている",positive,練習要素,ゲームシステム,必要な練習要素が全て揃っているため。
29,おすすめしない,3,"詐欺商品です。ロックスミス＋が来ると聞いて期待してましたがレビューの非常に不評通りでした。それでも初回と言う事でサブスク支払いしましたがスチームでは反映されません。プレミアム反映されないので無料の４曲しか遊べず、プレミアムに入ろうが日本ではロックスミス２０１４のDLCであった曲は無いしあまりにも曲数が少ないです。なら過去作のロックスミス2014をやろうと思うと最近２０１４から購入したDLCが消えいる問題が起こっていて問い合わせによるとsteam側はUBIに問題があると回答していてUBIはsteamに問題があると回答しているみたいです。２０１４コミュニティではプレイヤーの間で解決方法を模索していますが現在ありません。自分も購入したDLCのLinkinParkやOffspringやFallOutBoyやSum41など含めたDLC２万円以上がライブラリから消えておりたぶんロックスミス＋が出たこともあり再度購入など以外でDLCをプレイは不可能だと思ってます。更にその購入した２０１４のDLCは消える可能性があるので購入もおすすめできません。TAB譜で見れたり初心者や中級者の上達に２０１４よりギターなど楽器を覚えるのに力がかなり入ってるのでロックスミス＋頑張ってほしいですが現在の曲数やサブスクエラーを考えるとまた半年か一年後まで待ってプレイしようと思ってます。２０２４年６月""現在""はプレイをおすすめしません！",negative,DLC消失問題,外部要因・映画化,過去作のDLCが消える問題が発生しており、対応策が見つかっていないためです。
30,おすすめしない,1,"①大したグラフィックじゃないのに処理が重い。
②定期的に入力デバイスが切断される
・オーディオI/F 3個
・UBIケーブル 1個
・Rocksmithアプリ 1個
全部ダメ。
③曲をプレイしようとすると、入力デバイスが切断される。
④少しするとビープ音が鳴ってサウンドが壊れる。
⑤サポートからは一切返信来ない

何これ？",negative,バグ,ゲームシステム,入力デバイスの切断やサウンドのバグなど、ゲームシステムに深刻な問題があるため。
31,おすすめしない,20,"ギターの音がなぜかガビガビの外付けオーディオインターフェイス使ってるやつ、今すぐWINDOWSのデフォのサウンドボード出力に変えろ
サブスクライブアクティベートしたあとになぜか購入情報がソフトに反映されないやつ、今すぐインストールされてるはずのUBI SOFT CONNECTから一旦ログアウト→再ログインしてゲームを再起動しろ
（後者はXの人に教えてもらった、ありがとう）
とりあえずはそういう感じです
なんだかんだ前作に比べてちゃんとサブスクになった分「学ぶ」メニュー（基礎練出来るところ）が充実してたりWorkshop機能でオリジナルアレンジ譜面を共有できるようになってたりしててすげぇちゃんとバージョンアップはしているしUBISOFTスタッフのオリジナル曲も地味にクオリティ高い
今からギター始めようとしてる前作にしがらみのないボーイズ&ガールズはとりあえず収録曲を調べて音楽の好みに合いそうなら全然課金しちゃっていいぐらいには出来がいいよ
ただただ2014に収録されてたあの曲この曲がないせいでとばっちりであいみょんが嫌いになっちまいそうだしもうしばらくサブスクは見送ったほうがいい気持ちがある
Steamおじさん（俺含む）たちはおま国を許さない気持ちだけで低評価を押しているところもあり
とにかく前作や海外版で遊べ（てた）るあの曲この曲が増えるといいっすね、今のところ低評価押してるけどUBIスタッフを応援もしているという立場にいます",positive,バージョンアップ,ゲームシステム,サブスクになった分「学ぶ」メニューが充実したり、Workshop機能でオリジナルアレンジ譜面を共有できるようになったなど、前作に比べて大幅な進化が見られるため。
32,おすすめ,21,"2014に比べて練習はかなりやりやすくなってる。
まだUIに慣れてないからかもしれないけど、曲の検索性があまり良くない。
曲はたしかに少ない、というよりアーティストが少なくそれに対して曲が多い。これは今後に期待。
2014は色々問題があって不便だったところが今のところ感じないので個人的には好感触です。",positive,練習のやりやすさ,ゲームシステム,練習がやりやすくなったため。
33,おすすめしない,15,"ＳＴＥＡＭ版。サブスクリプション登録しても曲がアンロックされず。
サーバーにステータス確認すると表示されるがつながらず。
アカウント上は登録済になっているのになんでだ？
しばらく待てばいいのか？",negative,サーバー接続,外部要因・映画化,サーバーに接続できず、ゲーム内のコンテンツがアンロックされないという問題が発生しているため。
34,おすすめしない,12,"初代Rocksmithからのプレイヤーでリアルトーンケーブルを接続してプレイ。
同じようにリアルトーンケーブルを所有しており過去作をプレイしたことのある方ならチュートリアルまではそれほど時間はかからないはず。
メニュー画面のUIがイマイチ分かりづらい。曲が探しづらいなどの不満点はいくつかあるが、何よりも最大の問題点としてあまりに曲数が少なすぎる。
国ごとのアーティスト側との契約の関係もあると思われるためUBI側にはどうしようもない部分もあるが、それにしても全425曲というのはあまりにも寂しい。
試しにVPNでメキシコから接続してみるとなんと全9600曲。
洋楽が好きだったりメジャーな曲で遊びたいと思うプレイヤーはぼVPN必須。（※ただし自己責任で）

今後の邦人アーティストのラインナップ拡充に期待したいが、難しいだろうなぁ。",negative,曲数,ボリューム・価格,全425曲という曲が少なすぎる点が不満であるため。
35,おすすめ,15,"今のところは万人にお勧めできる状態でないのは確かですが、
個人的にはそこまで悪い感情は抱きませんでした。

収録曲があまり魅力的でないという意見も理解はできます。
旧作DLCが徐々に移植されてきているので、今後のアップデートに期待かなというところ。
継続的な楽曲追加が見込めるのはサブスク形態の利点と言えるんじゃないでしょうか。

本物のギター・ベース・ピアノを繋いで遊べる音ゲーです。
初心者向けにも動画コンテンツによる教材が用意されており、段階的にステップアップしていける作りになっています。

肝心の楽器とPCの接続方法ですが、
・専用周辺機器であるリアルトーンケーブル（Amazonで買えます。5000円くらい。）
・オーディオI/F（今作からの新方式です。）
・スマートフォンアプリを使った携帯のマイク集音（これは試してません。）
上記のいずれかが選べます。

オーディオI/F経由接続の設定がちょっと難ありだったので、
私の環境（BOSS GT-1）での手順を記載します。
---
・I/Fのドライバをインストール、電源ONにしてWindowsに再生/録音デバイスとして認識させる。
・Windowsの設出定＞システム＞サウンド＞サウンドの詳細設定から、
　サンプリングレートが48000Hzに設定されていることを確認。
・ゲームを起動し、オプション＞音声の入出力＞接続方法の変更から対象の I/F を選択
・「接続がタイムアウトしました」と表示されたら、設定画面を抜けてゲーム再起動
・なぜか設定が適用されたまま起動する。以降はオプションを触らない。

古いゲームの裏技っぽいですがこれでいけました...。しっかりしてくれぇ...。",positive,初心者向け教材,ゲームシステム,段階的にステップアップしていける作りになっているため。
36,おすすめしない,1,"プラスってかさ増しのことだったのかぁー(# ﾟДﾟ)
月額2000円でこれならRS2014再販売した方が皆喜ぶんじゃないかな…",negative,ボリューム不足,ボリューム・価格,月額料金に見合う内容ではないと感じているため。
37,おすすめしない,4,"これはひどい
登録したサブスクリプションは、初回だけ有効でしたが、その後、サブスクリプションが必要なサービスが機能しなくなりました
曲数が絶望的に少なく、RockSmith2024をはるかに下回っています
オーディオインターフェースを使用しましたが、遅延が体感できるレベルで演奏していて不快です
2024の方が曲のバリエーション、レイテンシーはるかにマシです(RS_ASIO入れています)
期待をはるかに下回るレベル
こりゃ日本でのサービスがいまさらになりますわ
期待して大損しました
普通にギター練習します

追記→
後日、サブスクリプションは有効になりました
音の遅延も設定でバッファサイズを下げたら改善し気にならなくなりました
曲数の少なさは絶望的のままです。。。",negative,曲数の少なさ,ボリューム・価格,レビュー者は、ゲームの曲数が少ないことを「絶望的」と表現し、不満を述べているため。
38,おすすめしない,57,"このゲームのサブスクリプション購入にシステム上の不具合があり、サブスクリプションを購入してもゲームに反映されない場合があります。
ですので課金をするのであれば慎重に行うことをオススメします。

自分の場合まずブラウザで”Ubisoft Connect”を通じて一か月のサブスクライブを購入してからsteamでゲームをダウンロードしてプレイしました。
一か月経過し次のサブスクリプションを購入をするためにゲームの案内にしたがい”steam”で購入手続きを行いました。
おそらくこれがよくなかったのだと思います。

ゲームを起動しても有料コンテンツが利用できないので再起動やログアウトを繰り返したのですが有料コンテンツが利用できない状態が長く続いたためサポートに連絡をしました。
しかし有料コンテンツを利用できるようにはなりませんでした。

しかも状況を調べるために１か月も時間を要すると言われ、言われた通り１か月待っても”システム上ではサブスクリプションは有効でした”の一点張り・・・

また、返金対応は”お手数をおかけしますが、Steamを通したサブスクリプションの場合は、Steamのサポート窓口へご連絡いただくようお願い申し上げます。”と言われてしまいます。

しかしsteamは他社製のゲームに対して適切なサポートは行うことはできません。
Rocksmith⁺を運営をしているのはUBISOFTなのに何故steamのサポートに連絡しろと言われるのか理解ができません。

ですので現在もサブスクリプションの返金は行われておりません。
返金される気配もないのでもうあきらめています。

ちなみにsteamの１４日間の返品リクエストもできませんでした。

発売前から楽しみにしていたゲームだったのでかなり残念です。
自分は二度とプレイすることはないです。

サブスクリプションを購入する際は、以前購入したプラットフォームで継続して購入すればトラブルは回避できるかもしれません。知らんけど",negative,サポートの無能さ,外部要因・映画化,サブスクリプション購入後のトラブル対応が不十分で、返金もしてもらえず、ユーザーを放置しているため。
39,おすすめしない,2,"リアルトーンケーブルで普通にプレイできました。UIはよくできていると思います。曲さえ多ければ文句ないです。

ですが、サブスクしてみても日本からプレイできる曲がほとんどなく、今ただひたすら絶望しています。Aimyonとかに客引きされて、ぼったくり飲み屋に連れてこられた気分です。サブスクしてようやく無料レベルのラインナップになると感じます。これが売り物になるとは信じられません。

売り方がほとんど詐欺に近いと思います。日本に住んでいるというだけで、これほどまでに酷い仕打ちを受けねばならないのでしょうか。倫理的に問題があります。怒ってます。

現状ではおすすめできません。",negative,ラインナップ,ボリューム・価格,日本からプレイできる曲がほとんどないため。
40,おすすめしない,0,これでクオリティでサブスクまじ？,negative,クオリティ,ボリューム・価格,サブスクリプションサービスにふさわしいクオリティではないと感じているため。
41,おすすめしない,0,"2014で今もプレイしています。設定そのままでプレイできました。

設定で難儀されている方はRocksmith wiki　https://w.atwiki.jp/rocksmith/pages/75.html
音声デバイスの辺りと他ページのリアルトーンケーブル関係のところを試すとうまくいくかも？

私の場合、USB2.0に差して　サウンドの設定からリアルトーンケーブルを選択して、名前の変更でカタカナの「マイク」を「MIC」に変更、形式をDVD Quality (16bit 48000Hz) に設定で問題なく認識されています。　

2014版はアップデートでリアルトーンケーブル・市販のUSBシールド・マイク入力でゲームができますのでrocksmith+でも同じく使えると思います。

サブスクに加入してもおま国曲が大量にあるようなので、現状おすすめできません。",negative,サブスクの内容,外部要因・映画化,サブスクリプションには「おま国曲」が多く含まれているためおすすめできないと述べている。
42,おすすめしない,0,"何もできません
アクティベーションコードを求められますが、どこから発行すればよいかもわかりません。
他の方のレビュー見る限り専用のケーブルが必要なようですが、その案内もストアページになく、どこで買えるのかもわかりません。
あまりにも不親切です。",negative,アクティベーションコード,外部要因・映画化,アクティベーションコードの入手方法が不明瞭であるため。
