番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
31,おすすめ,20,"バイオシリーズは、ほぼ初プレイ。
最初は何もわからず手探りで進めていましたが、少しずつ対処法を覚えていき、2週目は最初に比べスムーズに進められるようになっていて、よくできていると感じました。
リメイク前のゲームは遊んでないので違いはわかりませんが、本作だけでも十分に楽しめました。",positive,難易度調整,ゲームシステム,プレイヤーが徐々に対処法を覚え、2週目ではスムーズに進めるようになる点が評価されているため。
32,おすすめ,58,"マップや敵の硬さが非常に丁度いい。
初見は弾が足りるのか常にヒヤヒヤしながら戦えて、絶妙なタイミングでのセーブ部屋にほっとしたりとしっかりと面白さがしっかりと考えられている感じがする。
2週目はルートを最適化して数倍の早さでクリア出来るのも面白い。

ただこのゲームのせいなのかnvidiaのせいなのか分からないが、エラー落ちが多かったのは頂けない。
設定ファイルをメモ帳で直接いじるという解決方法でかなり減少した。",positive,マップや敵の硬さ,ゲームシステム,絶妙な難易度設定が面白さを生み出しているため。
33,おすすめ,51,"[H1]なんだこれは！ってバイオRe:2なんですが･･･(汗)[/H1]
遥か昔にかじった程度のバイオ２とは異次元の神ゲーでした。
バイオハザードシリーズ30周年の記念に
全部遊ぶぞバイオマラソン始めて良かった。

休憩するやめ時が見つからなくて困りました。
洋館事件しかクリアしてなかったから今年はバイオマラソンを思い立って
バイオ0＞Re1＞Re2（現在クレア編）
傑作リメイクだと聞いてはいましたが、プレイ体験は想像以上でした。

おおげさかもしれませんが、遊んでなかった事への後悔と
これから楽しめる喜びに感謝しています(笑)
レオンのデビュー作品でもあるので、ぜひとも遊んで見て欲しいです。
Re2はただのリメイクではない、感動するレベルの超リメイク作品！",positive,傑作リメイク,その他,ゲーム体験が想像以上だったと述べており、感動するレベルだと評価しているため。
34,おすすめ,8,"うわぁ～このゾンビ絶対動くだろ～動くぞー動くぞー
動かへんのかーい",positive,ゾンビの動き,演出・グラフィック,ゾンビが動くかどうかを期待して、興奮している様子が伺えるため。
35,おすすめ,6,a,negative,映画化の配役,外部要因・映画化,ゲームの内容よりも、映画化の配役について不満を述べているため。
36,おすすめ,17,Thish game shucks....,negative,shucks,その他,「shucks」は、失望や不満を表すスラングとして使われているため。
37,おすすめ,37,"悪くはなかったけど、、二回目のプレイはしなかったよ。

5は何回もやったんだ！！　それだけ　自分には面白いんのだったんだろうな⭐",positive,面白さ,その他,何度もプレイしたという記述から、ゲーム自体が面白かったと感じているため。
38,おすすめ,62,"RTAするうえでも優秀
マップがよくできてる",positive,マップ,ゲームシステム,RTAにも適している、マップが良いと評価されているため。
39,おすすめ,14,"ホラーとアクションのグラデーションが絶妙です。序盤から終盤にかけて徐々に徐々にホラー→アクションに寄っていく構成が見事だと思います。敵の出し方も抜群にうまく、ゾンビに慣れてきたと思ったらリッカー、リッカーに慣れてきたら,,,という風に常にプレイヤーを刺激してくれます。プレイヤーが恐怖を克服したタイミングでアクションに寄らせるセンスが凄い。

また、このRE2の最も素晴らしいと思う点が音にあります。とにかく音響が凄まじく、水音、足音、ゾンビの声や風の振動音まで、ありとあらゆる音にリアリティがあり、ゲームプレイ全体でとてつもない恐怖感を演出していると思います。ちなみに僕は駐車場辺りが一番音として怖いと感じました。",positive,敵の出し方,ゲームシステム,敵の種類や出現タイミングがプレイヤーを常に刺激してくれるため。
40,おすすめ,41,むずい,negative,難易度,ゲームシステム,「むずい」と表現しているため。
41,おすすめ,10,ぶっ通しで5時間遊んで休憩にレビュー書いてるってくらいの面白さです。,positive,ボリューム,ボリューム・価格,5時間プレイしたというボリュームが魅力だと述べているため。
42,おすすめ,28,"バイオシリーズを触った経験が大昔にやった6くらいだったので改めてプレイしてみようとレオン表＋クレア裏でクリア
難易度はスタンダードでやってみて終始弾薬不足とタイラントに追われながらのプレイにはなりましたが、初見でも何とかなりました
ハードコアやTA、Extraをプレイしていくならそうしたリソース管理や敵の効率的な対処などが必要になってくると思うのでその点は自分には合わないなとは感じました（ので一旦別ゲーに移るつもりです）が、上に書いたように難易度スタンダードでやる分には割と何とかなるバランスなのはとても良かったです",positive,弾薬不足とタイラントとの駆け引き,ゲームシステム,難易度の調整が良く、スタンダードならクリアできる難易度と感じたため。
43,おすすめ,18,プレステ版からの進化は当然のこと、やはりバイオ2は神作です,positive,進化,ゲームシステム,プレステ版からの進化を肯定的に評価しているため。
44,おすすめ,52,最高のゲームです。ストーリーよし、システムよし、すべてよし。とにかく買ってやりましょう。,positive,ストーリー,その他,ストーリーが良いと評価されているため。
45,おすすめ,14,b,negative,映画化の配役,外部要因・映画化,映画化の配役について不満を述べているため。
46,おすすめしない,68,"なんだこれ、、、掴み攻撃はあほみたい喰らう
レティクルとか意味ない
ボス戦は狭い、見づらい、ハマる。
久しぶりにしたが、、どこがおもろいんだ、、、これ
サバイバルで死にげーとか、、
死んで、タマギレでやり直すソウルライクゲー
イライラがすごいのでやめた
最近こんなゲームばっかり。
カプコン系はとうめん買わん",negative,操作性,ゲームシステム,レティクルとか意味ない、ボス戦は狭い、見づらい、ハマるといった記述から操作性の悪さが原因でイライラしている。
47,おすすめ,21,楽しインゴットでツルハシ作ります,neutral,ツルハシ作成,その他,ゲーム内のアイテム作成方法が具体的に述べられているため。
48,おすすめしない,6,楽しくない,negative,楽しくない,その他,文章全体が「楽しくない」と述べているため。
49,おすすめ,22,面白かった,positive,面白さ,その他,「面白かった」と明記しているため。
50,おすすめ,15,^^b,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
51,おすすめ,22,操作も複雑でなく遊びやすい、グラフィック・ムービーの質が格段に上がっている点も素晴らしい。,positive,グラフィック・ムービー,演出・グラフィック,グラフィックとムービーのクオリティが上がった点が評価されているため。
52,おすすめ,31,超面白いししっかり怖い。バイオ入門にもおすすめ。75％オフになるときもあるからそこで買えば十分すぎるボリューム。,positive,しっかり怖い,演出・グラフィック,「超面白いししっかり怖い」という表現から、ゲームの恐怖要素が作者に強く印象に残ったため。
53,おすすめ,14,"マジで面白い
ポリゴンの頃にプレイしたことがあるが、ちゃんと怖い。
ゾンビ自体もだけど、タイラントが怖え。
ただ、研究所パートあんなに短かったっけ？？すぐ終わった・・・",positive,タイラント,演出・グラフィック,タイラントの恐怖描写が良かったため。
54,おすすめ,25,"神ゲーです。
本当によくできたリメイク品",positive,リメイク品,その他,リメイク版が良く出来ていると評価しているため。
55,おすすめ,3,᠌ ᠌ ᠌᠌ ᠌,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
56,おすすめ,30,"ゾンビ怖いですが、己の臆病さを克服したときに達成感を得られます。
雰囲気もばっちりで、世界観に引き込まれます。",positive,達成感,その他,ゾンビの恐怖を克服することで達成感を味わえるという表現から。
57,おすすめ,16,"バイオハザード９が面白かったので購入
旧作もリリース当時に全ルートS＋とるまでやりこんだのですが
今の時代に変化のないゲーム性でこられると流石にキツイ部分が目につく

特にストレスに感じたのが照準点が出るまで停止して
トリガーを押したのに弾が側着ではなくゾンビ側の頭の振りにかちあうと
全く当たらない点でCODやAPEXをプレイした後にこの仕様に出あうと
意味不明すぎてどうしてこうなったとしか思えない。
他の要素に関してもホラーである以上仕方ないのだが総じて
プレイヤーの自由度を削ぐ方向でデザインされていて当時の自分は
よっぽどのマゾだったんだろうかと疑ってしまったが
20年前は他に選択肢がなかったということと他の作品を含め
ゲーム性自体が大幅に進化し向上した(それ自体は大いに喜ばしい事)せいで
昔のゲームをやるとノスタルジーよりも不便性のほうが目についてしまうんだなあと感じた。

ビジュアルは３Ｄになって音楽や雰囲気は素晴らしいのでホラーゲームとしては
ものすごく優秀だと思うけれどガンシューティング、アクションとしてみると
もうちょっと現代風にならなかったのかなあという印象

御託をたくさん並べたけど本音はこうだ！
ストレスを与えまくられた敵はケチったマグナム全弾ぶち込んで殺させろ！
なんやねん最後のバトルで時間まで逃げまくってロケランって？
こんなんでカタルシス得られるわけないやろ！アホか！

というわけで９に戻ってもっかいタイラントしばきに行ってきます。",negative,照準システム,ゲームシステム,古い照準システムがCODやAPEXと比較して意味不明だと感じたため。
58,おすすめ,46,"とれも怖い
けど面白い",positive,恐怖感,その他,「とれも怖い」という表現から、ゲームの怖さがポジティブに評価されているため。
59,おすすめ,33,"今更初プレイ
ガチで面白かった
0をクリアした後に連続でプレイしているせいか
難易度調整がすごくちょうどよく感じる
敵を全滅させながらマップを埋めていくのが気持ちいい
タイラントが出てくるまでにどれだけ探索できるかって感じだから
場合によってはセーブデータを巻き戻して
やり直したほうがいいっていうのはやや初見殺し感はあるかな
でも一度通ったとこはサクサク進められるから
やり直してもテンポ良い
欲を言えば紙類のファイルもマップの実探索要素にいれておいてほしかったかな
クリア時に確認したら54/58で未収得があったようだ
まぁ十分遊べた
セールで1000円で買えるっていうのもあるけど、費用対効果が良すぎた
おまけモードも一度はやっておくべきだと思う
本編では見られなかったような光景はまさにゾンビゲーというにふさわしい",positive,難易度調整,ゲームシステム,難易度調整がちょうどよく、敵を全滅させながらマップを埋めていくのが気持ちいいと述べているため。
60,おすすめ,18,"難易度：スタンダード、レオン（表）、クレア（裏）をどちらもAランクでクリア。
ラクーン君を全部うって無限ナイフ取得。

RE2 は 1 よりも難しいです。そして怖さも増えています。疲れます。でもクリアできてよかった。ハードコアは無理。そんな感想です。


アクションが下手ですが、以下の攻略動画を参考にプレイして何とかスタンダードはクリアできました。
https://www.youtube.com/watch?v=41QMdm_8Syc
https://www.youtube.com/watch?v=lF00__CnCiw

たぶん、この攻略動画がなかったら、弾薬が足りなくなったり、リッカーたちにかこまれたりして、クリアできずに終わっていたと思います。
スタンダードでもとても難しかったです。
特に、ヘッドショットを狙うのが難しくて、動画を参考にしていても、クレア（裏）の序盤では弾薬が足りなくなることもありました。

バイオハザード１は無限ロケランも手に入れられたのですが、今作 RE2 の難易度：ハードコアは、参考動画を見ながらでも、本当にむずかしくて、何よりもセーブ回数３回という制限が無限ロケランの条件になっているので、数回オープニングから挑戦しましたが、どちらも雑魚ゾンビにやられてしまい、これは無理だなとおもってやめました。

このことから、RE2 はバイオハザード１よりも難しいゲームだと思います。
難易度：スタンダードだけでも、レオン、クレアでクリアできてよかったです。

タイラントとの鬼ごっこは本当にしんどかった。
クリアしたときは達成感がありますが、かなり疲れます。
エイムが苦手な人には、ハードコアなどは特にしんどいゲームだと思います。

あと、攻略動画を見たので特に問題ありませんでしたが、パズルは本当に苦手なので、謎解きは毎回そうですが面倒なだけでした。あと所持数制限も面倒です。ハーブとか１０個くらい１枠に入れられるのになといつも思いながらやっています。

レクイエムで出てくるシェリーやレオン、クレアたちのストーリーを事前に体験できたのは良かったと思います。
エイダの、セクシーな衣装でのアクションや、レオンとのムービーもかっこよかったです。

アクション、エイムが得意な人ならば、もっと楽しめるゲームだと思いますが、ビビりでアクションが苦手な私にはスタンダードを動画を見ながらクリアが限度の、難しいゲームでした。
無限ロケランがもう少し簡単に手に入るように、せめて、そのまえの無限ハンドガンなどを使っても無限ロケランを取られるような条件に緩和してほしかったです。あとセーブ回数制限もやめてほしいです。疲れた。

おすすめするかどうかですが、アクションがうまいひとには間違いなくおすすめです。
エイムが苦手な人もスタンダードは攻略動画を見ればなんとかなると思うので、楽しみ方は制限されるという条件つきでおすすめします。
疲れた！",positive,難易度,ゲームシステム,難易度の高さにやりがいを感じているため。
61,おすすめ,36,good,neutral,good,その他,「good」という単なる評価であり、具体的な感情や要因が示されていないため。
62,おすすめ,22,犬が可愛いです,neutral,犬,その他,単に「犬が可愛い」と述べているため。
63,おすすめ,4,good game.,positive,gameplay,ゲームシステム,シンプルながらも奥深いゲームシステムが評価されているため。
64,おすすめ,17,素晴らしいゲームでした！,positive,ボリューム,ボリューム・価格,「素晴らしいゲームだった」と評価しているため。
65,おすすめ,50,"多くの方が良い部分、レビューされてるので気になったとこだけ♪

[h1] みんな真面目や(;'∀')💦 [/h1]
深刻なボケ役不足('Д')いつものゾンビコメディを期待されてる方はご注意ください。レオンとエイダ居るけど、6のようなエイダミュージカルもありません。ゾンビもふざけずにちゃんと飢えてます(´・ω・)1～2歩程度進んで攻撃モーション諦めちゃう他シリーズと違って、3歩4歩とバスケルール無視して進んできます(当社比)",positive,ゾンビの行動,ゲームシステム,ゾンビが従来シリーズとは異なり、よりリアルな行動をする点が評価されているため。
66,おすすめ,30,"敵が固いのは賛否両論ありそう。バトル系だとしんどいが、2はその路線ではないので自分はアリだと思う。
あと豆腐のバリエーション",positive,バトル系,ゲームシステム,バトル系の難易度が苦手な人でも楽しめるように、ゲームシステムは2では異なる方向性になっているため。
67,おすすめ,12,とても怖いですが、作り込まれていて楽しい！,positive,作り込み,演出・グラフィック,「作り込まれていて楽しい」という表現から、ゲームの演出やグラフィックに満足していることが伺えるため。
68,おすすめ,27,"バイオ初心者で、RE4→RE2の順でプレイ。4と比べるとステージの数が圧倒的に少なく、元が古いゲームだということを感じる。「仕方ないことではあるが、正直4のほうが好きだな」と思いながらプレイしていた。
が、閉塞感の強さや精神的な疲労が蓄積していく感覚、ヒリヒリとした恐怖感は4にはないもので、体験できてよかった。操作キャラを変えて2nd（裏）をやっていると、この疲労や恐怖を克服していく達成感があり、4とはまた違った恐怖の克服の面白さがあった。
レオン編とクレア編が繋がっておらず、ほぼパラレルワールドになっていることだけが残念だが
目つきが悪くなる前の、好青年レオンを見届けられてよかった。",positive,精神的な疲労,演出・グラフィック,閉塞感や精神的な疲労が蓄積していく感覚、ヒリヒリとした恐怖感は4にはないもので、体験できてよかったと述べているため。
69,おすすめ,30,リメイクのお手本みたいなゲームです。原作の良い部分をしっかりと残しつつ、遊びやすいように調整されています。正直リモコン操作は苦手だったので背面視点になっただけでも感動ものでした。,positive,背面視点,ゲームシステム,背面視点になったことで操作しやすくなったと述べているため。
70,おすすめ,51,"PS5で既プレイだけど改めて買った。
難易度調整も抜群、DLCも普通に楽しい。REエンジンってすげー",positive,難易度調整,ゲームシステム,難易度調整が素晴らしいと評価しているため。
71,おすすめしない,11,"PS版の１,２はプレイ済みで、当時豆腐やりこむくらいまで面白いと思っていましたが、
客観視点→一人称視点
に変更するだけでここまで苦手になるとは…
コントローラーが移動と視点操作の二種類になって混乱しがちなのもあるのですが、視点が状況に応じて勝手に変更されるのが非常に辛いです。
とくにリッカーやタイラントなどがとびかかってきて混戦になると視点がアップになってしまい、自分の居場所や向きも分からず敵のいる場所も分からないので混乱したままフルボッコにされるという。
私は結局無理でしたが、3D慣れしている人には非常に楽しめるんだろうな、とは思いました。
特にタイラントの追跡演出は、PS版よりも遥かに面白かったです。
元の方は、いきなり登場するみたいなジャンプスケアの演出で、しかも一定距離離れたら消えるみたいな感じでしたが、今作では近づいてくる足音が聞こえるので、ギミックの解除などをやりつつも気が抜けないような、そんなドキドキ感が味わえました。",positive,タイラントの追跡演出,演出・グラフィック,PS版よりも緊張感があり、ドキドキ感を味わえる演出になったため。
72,おすすめしない,9,- The original is better.,negative,オリジナル作品,外部要因・映画化,オリジナル作品の方が良いと述べているため。
73,おすすめしない,21,コンテナ。,negative,ボリューム不足,ボリューム・価格,短すぎるゲーム内容に不満を述べているため。
74,おすすめ,23,"レクイエムの御膳として。

最高のゲームです。

んんんこおおわあああああああああああい！！！！",positive,演出の見事さ,演出・グラフィック,「んんんこおおわあああああああああああい！！！！」という表現から、ゲームの演出に強い感動を受けていることがわかるため。
75,おすすめしない,16,"初代から６まではプレイしています。　7以降は作風の変化が受け入れられず未プレイです。
セールということで今更ながら購入しました。　旧作の雰囲気はしっかり残していますが、やはり古いゲームです。
最新のゲームと比べステージ数、クリーチャーの数、ゲームを構成する要素何もかもが足りません。
数少ないアイテムの枠を気にしたり、シリーズ恒例の陳腐なギミック等、令和の時代にすることではありません。
私はセール価格で購入したのでまだ良いですが、フルプライスの価値は絶対にありません。
旧来のファンも意識した真面目に作ったリメイク作とは思いますが、これなら積極的に最新作をリリースした方が良いのではないでしょうか。
「圧倒的に好評」という評価は正直信じられません。",negative,ボリューム不足,ボリューム・価格,ステージ数、クリーチャーの数、ゲームを構成する要素が足りないと述べているため。
76,おすすめ,4,面白い,positive,面白さ,その他,「面白い」と表現しているため。
77,おすすめ,23,"バイオハザードのリメイクの中でも一押しの作品
クリアにかかる時間は手ごろですが、多くのモードを楽しめるのでボリュームも十分にあります
リスタートポイントも用意されているのでリトライもしやすく遊びやすい作品です",positive,ボリューム,ボリューム・価格,クリアにかかる時間と多くのモード、リスタートポイントの提供により十分なボリュームがあるため。
78,おすすめしない,7,"[h1]タイラントが余計[/h1]
３は鬼ごっこでした。では２はどうなのか。
ご安心ください。
[h3][u]２も鬼ごっこです。[/u][/h3]
しかも謎解きしている間もずっと鬼（タイラント）がついてきます。

３はボスとして、ストーリー全体としての鬼ごっこでしたが、２は違います。謎解きで探索している間も鬼ごっこを要求してきます。

鬼のタイラント君は警察署のホールに設置されているセーブ箇所でセーブしようとしていても、お構いなしにこちらを攻撃して来ます。

このタイラントが余計な追跡をしてくるおかげで２は
[h2]絶望的に遊ぶのが面倒くさいです。[/h2]

つまり楽しくありません。怖いとかそういう問題ではありません。
[h3]楽しくないのです。[/h3]",negative,タイラントの追跡,ゲームシステム,タイラントが常にプレイヤーを追跡してくるため、ゲームが面倒くさいと感じている。
79,おすすめ,11,MELHOR DA FRANQUIA PRA MIM,positive,ボリューム,ボリューム・価格,シリーズの中で一番ボリュームがあると感じているため。
80,おすすめ,27,"ゾンビが怖いというバイオ最大の魅力を極限まで引き出した神ゲームです。
ただ、表と裏の違いがあまりないのと、ザッピングシステムが廃止され、レオンとクレアのつながりが薄くなったのは残念です。",positive,ゾンビの怖さ,演出・グラフィック,ゾンビが怖いというバイオ最大の魅力を極限まで引き出したと述べているため。
81,おすすめ,16,"つまらない瞬間がない。濃厚なゲーム体験。
たまに画面が暗転する不具合あり。ドライバの問題らしく、古いバージョンであれば正常に動作するらしいですが、他のソフトのために最新版を使いたいので、修正してほしいところ。",positive,濃厚なゲーム体験,その他,レビュー全体で「つまらない瞬間がない」「濃厚なゲーム体験」と肯定的な表現が用いられているため。
