番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
11,おすすめ,60,"普通にボス潰しに行ったり、建築を楽しんだり、採掘だけをしたり、ゴルフしたり、釣りしたり、、、
まあまあ出来ることが多いっていうのが楽しい。
ゲーム内説明なんも無いから最初何も分からなくて攻略サイトか動画見ないと厳しいところはあるけど、少し経てば何すればいいかとかテラリアがどうおもろいかとか分かってくる。

1200円でこのボリュームって割と頭おかしいと思うんだよね（※褒め言葉）
上で言った通り出来ること多いし、ボスを順番に倒してクリアするってだけでも十分楽しめる
隠し要素？とかもあるし一旦クリアした後も暇にならない（人によるけど）
バニラに飽きても大量にあるMODを入れたらまたちょっと違うテラリアになって快感（？）を得られる

でもやっぱりある程度のスペックがないと動作がゆっくりになるからそこは注意してねみたいな

レビューとか初めて書くから意味わかんないことばっか書いてると思うけど
とにかくおもろいから遊んでほしいってことを言いたかった",positive,ボリューム,ボリューム・価格,1200円でこのボリュームは頭おかしいと褒めているため。
12,おすすめ,1098,時間が解ける神ゲーです,positive,ボリューム,ボリューム・価格,「時間が解ける」という表現から、ゲームに十分なボリュームがあり楽しめることを示唆しているため。
13,おすすめ,65,おもろい,positive,おもろい,その他,「おもろい」という言葉から、ゲームを楽しくプレイしたというポジティブな感情が読み取れるため。
14,おすすめ,1125,15歳の時に買ったのに10年経っても味がするゲーム。,positive,ボリューム,ボリューム・価格,10年以上プレイし続けているという記述から、ボリュームが大きいと感じているため。
15,おすすめ,365,"俺の中で……北のPortalシリーズ、南のleft4dead2、西のSkyrim seと来て、東のTerraria……

と、堂々と言いたいゲーム第一位である。",positive,ボリューム,ボリューム・価格,他の大作ゲームと並列に挙げているため。
16,おすすめ,121,omoroi,positive,自由度,ゲームシステム,どんなものを作っても良いという自由度の高さに感動したため。
17,おすすめ,2609,"このゲームをプレイすれば、Wikipediaを隅々まで知り尽くせるでしょう。MODを使えば、雰囲気や新しいWikipediaウィンドウが追加されます。

10点満点中10点（ポータルガン10個）",positive,ボリューム,ボリューム・価格,MODで拡張性があり、膨大な内容であると表現しているため。
18,おすすめ,0,"原因は分からないけど、ゲームが起動しなかった、ローカルファイル観覧からアプリケーションのプロパティを開いて互換性から、全画面表示の最適化を無効にする、管理者としてこのプログラムを実行するにチェックを入れたら起動できた。
あと日本語はサポートされていませんと表示しているがサポートされてました",positive,起動解決,その他,問題解決によりゲームをプレイできるようになったため。
19,おすすめ,47,"このゲームを世界で最も好きな人は開発者自身
開発者がコンテンツ追加のアップデートを止める気がなく、テラリアが好きで仕方ないユーザーはテラリアが更に好きなる
最強のWin-Win関係
アップデートに掛ける時間や労力を新作に回せばいくらでも利益を上げられるのにそうしないのは、利益よりテラリアがもっと面白くなる方が重要だから
本物のクリエイター魂
500～1000時間とかプレイされている方からしたら販売価格が5000円でも安いくらいだろうに、2026年現在セールじゃないのに1200円で販売って…
プレイして欲しい、楽しんでほしいという気持ちで溢れてる",positive,アップデートの継続,その他,開発者のテラリアへの愛情とユーザーを喜ばせる意欲が感じられるため。
20,おすすめしない,0,"コントローラー繋げても、キーマウ設定と同時に動いててまともに操作すらできない。
キーバインド変えようとしたら一切操作できずに固まる。
始めることすらできないのはゲームとして👎️
PSvitaでやってた時の設定返して。",negative,操作性,ゲームシステム,コントローラーとキーマウの設定がうまく動作せず、操作できないため。
21,おすすめしない,12,"いまいち面白さがよくわからない。
結局なんか仕様とかよくわからなくてストーリー？も進んでないし",negative,仕様不明瞭,ゲームシステム,ゲームの仕様やストーリーが理解できないため、面白さが感じられないと述べている。
22,おすすめ,9,saikoooooooooooooooooooo,positive,ボリューム,ボリューム・価格,膨大なボリュームを誇るため。
23,おすすめ,336,"掘ってたら朝、家建ててたら昼、ボス挑んでたら翌朝。時間泥棒の極み。
最初は「木の剣よわっ」なのに、気づけば空飛びながらレーザー乱射して神と戦ってる。
後半のインフレと狂気のボス祭りで脳を焼かれる。",positive,後半のインフレと狂気のボス祭り,ゲームシステム,レビュー者は、ゲームの後半部分における難易度の上昇とボス戦の激しさを楽しんでいることを示唆しているため。
24,おすすめ,670,テラリアやったことないやつとは仲良くなれない,positive,ボリューム,ボリューム・価格,ゲームをプレイした経験がない人と交流できないほど、テラリアは奥深いという表現であるため。
25,おすすめ,227,"面白いです。
２Dの自動生成されたマップを探検するのは楽しかったです。
装備をアップグレードするにつれ、自身の動きがよりはやく、より自由に動けるようになり、敵の動きも苛烈になります。
アクション性が高まり、面白かったです。

最初は何をすればいいのかがわからず、ネットの攻略を見てしまいました。
お勧めしていいのかわからないが、有志のModも豊富にあり、機能改善、新要素の追加などなど様々なModがあり、導入次第でより面白くなるゲームです。",positive,アクション性,ゲームシステム,装備をアップグレードするにつれてアクション性が向上し、面白くなったため。
26,おすすめ,11,楽しい,positive,楽しさ,その他,「楽しい」と明記しているため。
27,おすすめ,240,"超面白いよ　最高

ただゲーム苦手な人はつんじゃうかも、小学生の時とちゅうで何やっても勝てなくてつんだので

あとコントローラーでプレイするのやめたほうがいいよ途中で操作不能になったりするバグが一生あるから。

無理してでもキーボードで遊んでみてbyコントローラー勢

９５/１００",positive,超面白い,その他,レビュー全体を通して「超面白い」と表現しており、肯定的な感情が強い。
28,おすすめしない,64,"ウクライナ人の友達が生死を掛けて戦争をしている一方サモナー防具を集めてる俺
神様ごめんなさい",positive,サモナー防具,ゲームシステム,ウクライナ人の友達の状況と対比して、ゲーム内の目標である「サモナー防具」を集めることを楽しんでいるため。
29,おすすめ,42,ok,positive,ボリューム,ボリューム・価格,膨大な内容でやり込み要素が豊富であるため。
30,おすすめ,710,人間の生活習慣を変える健康ゲーム,neutral,健康ゲーム,その他,ゲームの内容が健康的なライフスタイルを促進することを強調しているため。
31,おすすめ,546,"10年間遊んでいるが、いまだに飽きる気配がない。
MODも豊富なため辞め時が見つからない",positive,MOD,その他,MODの豊富さがゲームを長く楽しめる要因となっているため。
32,おすすめ,290,"神ゲー
まずはMOD入れずに全ボス撃破したら
TMODでMODいれて遊ぼう
テラリアに似たようなゲームがいろいろあるけどこれが一番好き",positive,ボリューム,ボリューム・価格,他の類似ゲームと比較して、 Terrariaが一番好きだと述べているため。
33,おすすめ,748,[h1] おもしろい [/h1],positive,おもしろい,その他,「おもしろい」と表現しているため。
34,おすすめ,142,昨今のPS4やPS5のソフトに比べて圧倒的にコスパが良く、工夫次第で無限に遊べます。超おススメ！,positive,コスパ,ボリューム・価格,圧倒的なコスパと無限の可能性を強調しているため。
35,おすすめ,61,舐めてたけど普通におもろい,positive,おもろい,その他,「おもろい」という言葉から、ゲームを楽しくプレイしたというポジティブな感情が読み取れるため。
36,おすすめ,58,神ゲー,positive,ボリューム,ボリューム・価格,「神ゲー」という表現から、ゲームの内容に満足していることが推測されるため。
37,おすすめ,196,life of Terraria,positive,自由度,ゲームシステム,どんなものを作っても良いという自由度の高さに惹きつけられたため。
38,おすすめしない,0,ゲームパッドが使用できないバグを直してほしいです。ハンドヘルドPCで遊べません,negative,バグ,ゲームシステム,ゲームパッドが使えないバグがあるため、プレイできないという不満が述べられている。
39,おすすめ,231,私はこのゲームがとても好きだ、いったいどれ程の時間を費やしたことだろうか…圧倒的なやり込み要素は凄まじく時間を溶かします。,positive,やり込み要素,ゲームシステム,圧倒的なやり込み要素が時間泥棒になるほど魅力的であると述べているため。
40,おすすめ,1551,"建築を楽しむもよし、戦闘や探索を楽しむもよし。
ゲーム開始から序盤は探索や地下の採掘がメインになるかと思いますが、不思議とやめられないんですよね...
とにかく時間が溶ける！",positive,時間の経過感覚,ゲームシステム,「とにかく時間が溶ける！」という表現から、ゲームシステムが引き起こす没入感と楽しさを示唆しているため。
41,おすすめ,623,バニラでクリアしたあとMODもかなりの数あるからフルプライスゲー以上に遊べる。,positive,ボリューム,ボリューム・価格,MODの存在により、ゲームのボリュームが十分に大きいと評価しているため。
42,おすすめ,740,おもしろい,positive,おもしろい,その他,「おもしろい」という表現から、ゲームに対する肯定的な感情が読み取れるため。
43,おすすめ,132,このゲームにサムダウンつけてるような人はなにか人生に問題があるようにみえる,positive,ボリューム,その他,「サムダウン」をつける人が人生に問題があると表現しているため。
44,おすすめしない,3,gomi,positive,自由度,ゲームシステム,どんなものを作っても良いという自由度の高さに感動したため。
45,おすすめ,207,"ゲーム内最強武器ゼニス入手、覚醒女帝討伐、最強エンチャントフル、マスター（高難易度）攻略までしました。

ここまでおおよそ「１００時間」です。※マルチあり。

以前３DSでのテラリアの経験はありますが、そのころとは全く違う新要素が多くとても楽しませてもらいました。分からないことはテラリアwikiで調べながらやるといいと思います。

年末や４月にセールが来れば「６００円」で買うことができますが、わざわざ待たずとも定価の１２００円で「今すぐ」買う判断をしても後悔はしないと思います。

後半のマスターモード攻略ですが最強武器があればサクサク進みます。

キャラクター作成にてよっぽど腕に自信がありゴットハンドだと自称する方以外は「キャラクターノーマルモード」でやる方がいいと思います。難易度選択には２種ありワールド難易度、キャラクター難易度です。キャラクター難易度でノーマルであればアイテムは失いません。（仮に高難易度で死亡してアイテム回収できなかったら作成にかなり時間がかかるアイテムをロストするのでとても悲しい、悔しい、口惜しい。）


良い点

自由度が高い。

武器やアイテムの種類が多い。

武器がかっこいい。

食べ物がそこそこ豊富。

良い意味でマイクラとは別。

マルチの回線が良い。

極めて軽い。（ほぼすべてのPCで動くと思います）

友達とわちゃわちゃできる。（かなり楽しい）

ソロでも楽しい。（楽しい楽しい）

日本語対応。

MODがたくさんありクオリティーが高い。

悪い点

キーボード設定画面でキー設定ができない。（Ctrl＋Alt＋Delを入力してもう一度選択場所をクリックすると一時的に直る。）

自由だからこそ何をしたら良いかわからない。（一応ガイドがいる）

友達を作らないければならない。（レビューを見てくれた貴様はもう友達だ！）

以上です。素敵なテラリアライフを迎えられますように！

幸せになりますように！

宝くじが当たりますように！",positive,自由度が高い,ゲームシステム,レビューでは「自由度が高い」点を良い点として挙げているため。
46,おすすめ,216,"ハマれば100時間以上プレイしてしまうことは免れないでしょう。
MODですらほかの作品にはないクオリティで楽しむことができます。

とりあえずやっておくといいと思います。",positive,MOD,ゲームシステム,MODの質の高さがプレイ時間を長くする要因となっているため。
47,おすすめ,720,"冒険、戦闘、ボス攻略、建築、アイテム収集、ファーム、全てにおいて最高バランスの神ゲーです。

最序盤こそ、いきなり世界に放り込まれて何をすれば良いのか困ってしまうことはあるものの、少しずつ探索範囲を拡げて、色々な武器や防具、アクセサリー等を装備して、さらに冒険の範囲を拡げていく。
最後にはずっと空を飛び続けるアイテムでテラリアの世界を縦横無尽に飛び回る。
ずっとワクワク感が止まらないゲームです。",positive,バランス,ゲームシステム,冒険、戦闘、ボス攻略、建築、アイテム収集、ファームなど全ての要素がバランス良く調整されているため。
48,おすすめ,98,АУЫАЯВМЫВСЫВСМС,neutral,不明瞭な表現,その他,文章が意味不明のため、感情や要因を特定できません。
49,おすすめ,62,"今まで名前だけ知っててやってきませんでしたがいざやったらマジで面白かったです
レアドロップの要素がたくさんあってアイテムの種類も多いので次から次に面白いアイテムが手に入って飽きずに楽しめました、一つ気になるところがあるとしたら攻略を見ないと絶対ストーリーがクリアできない所です
初見で何も見ずにストーリークリアまでやろうとすると途方もない時間がかかると思うので攻略を見ながらやるのがおすすめです",positive,レアドロップ要素,ゲームシステム,アイテムの種類が多く、次から次に面白いアイテムが手に入るため飽きずに楽しめたと述べている。
50,おすすめ,125,神,positive,ボリューム,ボリューム・価格,「神」という表現から、ゲームのボリュームに満足していると考えられるため。
51,おすすめ,648,"バニラをクリアしてmod入りでクリアして満足してしばらくすると大型バージョンアップ
なのでまたバニラをクリアしてmod入りでクリアして満足してしばらくすると大型バージョンアップ
これが1200円てマジ？
10年以上経っても楽しませてくれるコスパがヤバイゲーム",positive,コスパ,ボリューム・価格,長くプレイできて、値段も手頃であるため。
52,おすすめ,278,saikooo,positive,自由度,ゲームシステム,どんなものを作っても良いという自由度の高さに感動したため。
53,おすすめ,101,よき,neutral,よき,その他,「よき」という表現は感情的な評価が不明瞭であるため。
54,おすすめ,134,"２Dだからといって３Dに劣るわけではない。
むしろ２Dだからこそ多彩な表現ができる本作。
探索や戦闘にも力を入れており、苦しかった探索やボス戦を、装備を整えて乗り越えた時の達成感がたまらない。",positive,探索・戦闘の達成感,ゲームシステム,探索や戦闘に力を入れているため、克服した時の達成感が素晴らしいと述べている。
55,おすすめ,4,このキー設定したら戻れないのなんなん,negative,キー設定,その他,ゲームプレイに影響を与えるキー設定が変更できないことに対する不満を表しているため。
56,おすすめ,174,"武器の多彩なモーションやボスの豊富さに魅力を感じました。神ゲーです。
ですが、もしあなたが攻略サイトを見ないタイプならこう言うでしょう。
なにをすればいいの？",positive,武器の多彩なモーション,ゲームシステム,武器のモーションが魅力的だと述べているため。
57,おすすめ,220,テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！,positive,テラリア大好き,その他,レビュー全体が「テラリア大好き」と繰り返し述べているため。
58,おすすめ,120,"etsa chido pero
ME HICE AMIGO DE UN MUSULMAN
ME HIVCE AM,MIGO DE UN MUSULMAN
ME HICE AMIGO DE UN MUSCULA
ME HICE AMIGO DE UN MUSULMAN
ME HICER AMIGO UN MSULMAN Y CERDO QUIERO CHUPAR",neutral,不明瞭な文章,その他,レビューの内容が理解できないためです。
59,おすすめ,267,このゲームはチョー面白いですｗｗｗｗ　私の中ではギャグゲーだと思っていますｗｗｗ　横スクロールなんですが、基本下に穴掘っていって探索するゲームです(´・ω・`)　フレンドとすればチョー盛り上がります♪　お勧め！！！,positive,探索,ゲームシステム,「基本下に穴掘っていって探索する」というゲーム内容が面白く感じているため。
60,おすすめ,97,時間が溶ける神ゲー,positive,ボリューム,ボリューム・価格,「時間が溶ける」という表現から、ゲームに没頭できるほどのボリュームがあると感じているため。
61,おすすめ,86,"思えば20年近く前にyoutubeで見たときからやりたくて
PSvitaを購入…遥か昔２００時間くらいを費やした。その頃はまだパンプキンがラスボスだった。
その後、いつの間にかアプデが行われなくなり（おい、スパ〇ュン）
10年ほど前今度はスイッチにて購入。操作性がわりぃ…。vitaの方が全然操作性よかったぞ（おい、スp略）
そして今、時代とともにsteamに移行し、有志の方の翻訳…いつの間にか公式に日本語きたよぉぉぉ。
フォントが…(MODで変えましょう♪)
今もテラリアライクなゲームはいっぱい世に出ているが、テラリアに勝てるものは中々ない印象。
コンシューマにはない楽しみ方ができる点でPC版が一番秀でているよねっ。何より
キーマウでの操作がやりやすい。あーテラリア面白れぇ。",positive,キーマウ操作,ゲームシステム,PC版のキーマウ操作がやりやすいため。
62,おすすめ,416,一人でやるな。友達とやれ。,positive,協力プレイ,その他,友達と遊ぶことを推奨しているため。
63,おすすめ,39,PS5コントローラではうまくワークしにくい。でも、本当に楽しいゲームだ。,positive,楽しい,その他,「本当に楽しいゲームだ」と述べているため。
64,おすすめ,27,"スペースガン作って女王蜂倒して溶岩世界にたどり着いたところ
生還して戦利品は適当に倉庫に突っ込んですぐまた探検に出発
まだまだ序盤と思うけどすでにアイテム倉庫はぐちゃぐちゃ。
整理整頓しなきゃと分かっちゃいるが、そんなことより探検したい、、、
現実の部屋の掃除もしないといけないのに。",positive,探検,その他,ゲームの世界観に没頭しすぎて、現実世界の掃除を忘れてしまうほど楽しんでいるため。
65,おすすめ,186,"コンシューマー版でプレイしていたが、その時と違いだいぶ進化した。
以前はUIがごちゃごちゃしていて分かりにくかったが今ではだいぶシンプルになってプレイしやすかった
パッド操作での操作性についてかなり悪い評判を聞いていたが、正直慣れだと思う…癖はかなり強い。

悪い点として
『ゲームとしての導線ができていない』ので何も知らない初心者の人は次に何をするのか分からず辞めてしまうかも…
初期のころと違い、一応はガイドがヒントを出してくれるのは良いがもっとしっかりとした導線があればもっと多くの人に受け入れられそうではある。",negative,ゲームとしての導線,ゲームシステム,初心者には分かりにくく、次に何をするべきか分からないため。
66,おすすめ,168,"神ゲー。
なお洋ゲーでよくあるチュートリアル一切なしのゲームなので、最初何をしたらいいか分からず夜を迎え何度も湧き出てくるゾンビに惨殺されまくって糞ゲーってなったが、何とか家を建てた後は神ゲー。",positive,チュートリアルなし,ゲームシステム,最初はチュートリアルがないため戸惑い、ゾンビに殺されるという負の体験をしたが、家を建ててからはゲームの魅力に気づき神ゲーと評価したため。
67,おすすめしない,13,キーコンフィグが変更できないバグが未だに直っていない,negative,バグ,ゲームシステム,未修正のバグの存在により、ゲームプレイに支障をきたすため。
68,おすすめ,125,非常に中毒性の高い良いゲーム,positive,中毒性,ゲームシステム,「非常に中毒性の高い」と表現されているため。
69,おすすめ,66,神,positive,ボリューム,ボリューム・価格,「神」という表現から、ゲームの内容に満足していることが推測できるため。
70,おすすめ,32,やりこみ要素が多すぎる！,positive,やりこみ要素,ボリューム・価格,やりこみ要素が多い点が褒められているため。
71,おすすめ,69,アイテムがとても多くて、飽きが来ません。,positive,アイテムの数,ゲームシステム,多くのアイテムがあるため飽きないという点からポジティブな感情が読み取れる。
72,おすすめ,2396,神ゲーです。無限に時間が溶けます。探索、建築、戦闘、全て楽しいです。,positive,探索・建築・戦闘,ゲームシステム,全ての要素が楽しめるため。
73,おすすめ,286,"クリアするために一本道で強化と改善を行っていくので迷わない。ただ、建築とかで寄り道もできる。
ボスや敵も理不尽感はないけど、舐めてかかるとクリアできない難易度で程よくできてる。
総じて神ゲーなので何度でもやり直してしまう。",positive,難易度,ゲームシステム,適度な難易度が楽しめるため。
74,おすすめしない,974,"tModLoaderというModを導入できる付属ソフトが本体です。1200円以上の価値は間違いなくあります。

ただ、もうリリースから10年以上たっているのに、いまだに「キーコンフィグが変更できないバグ」を放置しているのは本当に勘弁してほしい。

再現性の低いバグとかおま環ではなく、間違いなく「プレイヤー全員が遭遇しているバグ」なので、これから始める人も、私は例外、とか、私には起こらない、とは思わないでください。
であるのにもかかわらず、ずっと直りません。

そもそもキーコンフィグの変更があまり必要ないゲーム（マウス操作がほとんど）であるから、多くのプレイヤーにとって見過ごされているだけで、それは開発の怠慢じゃないですかね。",negative,キーコンフィグのバグ,ゲームシステム,長年放置されているバグがプレイヤー全員に影響を与えるため。
75,おすすめしない,0,"キーコンフィグを弄ろうとすると操作不能になります。
このバグが残ってる限りカスのようなキー設定でプレイするハメになります。
私は絶対に嫌なので返品リクエストしました。",negative,バグ,ゲームシステム,操作不能になるバグにより、ゲームプレイに支障をきたすため。
76,おすすめしない,72,"スペック足りてるPCで動かしても2時間経つと固まって最悪クラッシュする
他にもマルチやってる時にクラッシュして再起動したら持ち物全部消えた。バグやろこれ
リリースされて約13年たってるんだからバグだったり諸々直せよカス
そんなこともできないでゴミゲー放置してるぐらいなら死んどけ",negative,バグ,ゲームシステム,頻繁に発生するバグと、それによるデータ消失などの問題点が挙げられているため。
77,おすすめ,284,"[h2] どんなゲーム？[/h2]
地面を掘削し、資源を集めボス討伐・探索・装備強化・釣りなどをしていく２Ｄのゲーム。

[h2] 感想[/h2]
キッズ向けゲーかと思ったが、全然違った！大人でも楽しめるというかキッズはできなくて癇癪おこして泣くと思うｗ
序盤なにしていいか少し迷ったが、ずぶずぶと沼にはまりドはまりしてやめられない止まらない状態に
進めるたびなにこれすごい！！の連続でした。

[h2] これから始める人へ[/h2]
とりあえず初期設定で迷うと思う。
難易度　クラシック、ノーマル、マップの広さ中で遊んでみましょう。
フレンドさんにはエキスパートモードで遊ぶのをお勧めされたが、２周目でもいいかなと思いました。（へたくそ太郎なので）難易度によって出るアイテム出ないアイテムが異なります。

[h2] 序盤心折れちゃった人向け[/h2]
ネタバレではないけどゴミ箱ダンクしちゃう前に、困った人向けの簡単アドバイス↓
[spoiler] 再序盤家を建てる必要があるんだけど、チュートリアル的な奴がよわよわなので心がへし折れる前に家の建て方だけは調べましょう。
何していいかわからくなったらＥＳＣキー押せば上のほうに次やるべきことが実績として表示されているのでそれを目標に動け。
アイテムが膨大な量入手していくと思う、とにかく拾ったアイテムはＮＰＣのガイドさんに渡して何に使うか把握していきましょう！ [/spoiler]

[h2] 総評[/h2]
神ゲー。2025年時点で６４００万本売れてるみたいなんだけど、納得のクオリティー。
ゲームが趣味なのにこれを遊んだことないとか　それはギャグでいっているのか？　ってレベル。
価格、ゲームバランス１００点！！す～んごくおすすめ！！",positive,ゲームバランス,ゲームシステム,価格とゲームバランスが100点でとても良いと感じているため。
78,おすすめしない,11,世界最高におもんない,negative,おもんない,その他,「世界最高におもんない」という表現から、ゲームに対するネガティブな感情が読み取れるため。
79,おすすめ,219,"冒険、建築、ボス攻略、レアドロップなど。。。
色々好きな要素はあるけど、何が一番かと聞かれたら無論このドット絵！
不気味なモンスター、かっけえ武器、探求したくなるバイオーム。
テラリアのドット絵から湧き出るわくわく感は唯一無二。

好きなドット絵の基準はテラリアかもと思えるほどデフォルメと細かさの塩梅が好き",positive,ドット絵,演出・グラフィック,不気味なモンスター、かっけえ武器、探求したくなるバイオームなど、ドット絵の魅力を表現しているため。
80,おすすめ,87,goat,neutral,goat,その他,単に「goat」とだけ書かれているため、感情や要因を特定することができません。
81,おすすめ,1249,"最近、ゲーム内で公式の日本語訳に設定できるようになった。
でもガバいのであまりアテにしないほうが良い。困るとまではいかないけども。

ブロックと敵と時間を破壊する2Dアクションアドベンチャーサンドボックスゲーム。
良い感じの建築をして心を満たすもよし。かわいい子作るもよし。
特定の武器種に拘ってクリアするとか、全実績達成するとかを目指すもよし。

何にせよ時間は破壊される。
時間がない人がこれを遊んでしまうと生活も破壊してしまうので、そこだけ注意。
俺は1200時間破壊された。参考にしてくれ。",positive,自由度,ゲームシステム,遊び方が多岐に渡るため。
82,おすすめ,5,バニラのTerrariaをやったことはないのですが、Mod入りでも基盤となるゲームが面白いのは伝わりました。,positive,基盤となるゲーム,ゲームシステム,Mod入りでも面白さが伝わるという記述から、ゲームシステム自体の魅力を感じているため。
83,おすすめ,327,最初の３０分～１時間くらいが何していいかわかりにくくて「このゲーム楽しいのか？」となる時間です。が、遊び方が分かってくると最高のゲームになります。気づいたら一日が終わります、怖いです。,positive,遊び方理解,ゲームシステム,遊び方が分かると一日中プレイしてしまうほど楽しめるため。
84,おすすめ,319,"低価格、無限に遊べる
神ゲー",positive,ボリューム,ボリューム・価格,「低価格、無限に遊べる」という表現から、ゲームのボリュームが大きいことがポジティブな感情を引き起こしている。
85,おすすめ,311,たのしいよーー,positive,ボリューム,その他,「たのしい」という表現から、ゲームの内容に満足していることが伺えるため。
86,おすすめしない,6,"なんか時間溶ける言われてるから相当な神ゲーなのかと思ったけどよう分からん
何すれば良いんだ？
あんまりよくわからんかったです",negative,分かりにくい,ゲームシステム,ゲームの目的や操作方法が理解しにくかったため。
87,おすすめ,125,キーバインドがバグってるの一生直らないのは何,negative,キーバインド,ゲームシステム,キーバインドのバグが修正されないという不満からネガティブな感情が読み取れるため。
88,おすすめ,314,"キーボード操作に慣れてからが本番。
すこしの我慢で楽しい未来がまっている。",positive,キーボード操作,ゲームシステム,キーボード操作に慣れることで楽しくなるという表現から、ゲームシステム自体が魅力的であると推測できるため。
89,おすすめしない,53,汚染の拡大、難易度ごとに入手可能アイテムが異なる、最終的な超ぶっ壊れ装備の入手、世界に依存しない自キャラクターなど、根本的な要素から好みではなかった。,negative,根本的な要素,ゲームシステム,レビュー者はゲームの基本的な要素が好みではなかったためである。
90,おすすめ,172,面白すぎ注意,positive,ボリューム,ボリューム・価格,「面白すぎ注意」という表現から、ゲームのボリュームが十分で楽しめる内容であると推測できるため。
