番号,判定,総プレイ時間(時間),レビュー本文
19,おすすめ,3,"『8番ライク』というリスペクト作品ジャンルまで派生したウォーキングシミュレーター。

『異変を見逃さない』
『異変が無かったら進む』
『異変を見つけたら戻る』

たった3つの簡単ルールで、ここまでホラー&驚きの没入感ある作品は他に無し！
日本の駅地下通路の再現度がとてもリアル！かつ謎のおじさん、実際にいそうだ！？
実写映画化もされており、映画観てからゲーム遊ぶでもオススメです。"
20,おすすめ,0,ウォーキングシミュレーター型間違い探し。おかしなことがあったら引き返す、無かったら（と思ったら）前へ進む。一定回数ミスせずに進めればクリアというシンプルなゲーム性で、クリアタイムも1時間程度と気軽に遊べます。ホラー要素が含まれているので苦手な方は注意してください。
21,おすすめ,2,"初めてプレイしたウォーキングシミュレーター。
そこまでホラー要素が強くなかったので、ホラーが苦手な自分でも楽しくプレイできた。"
22,おすすめしない,0,あんまり面白みを感じなかった
23,おすすめ,0,"映画化もした有名なゲーム
異変があれば引き返し、なければ進むを繰り返しゴールを目指す
新異変追加されたらしいけど結局どれだったのか分からず💦
既プレイだったので1hほどで全実績解除"
24,おすすめ,2,"異変探しゲームの原点、今更ながらプレイさせていただきましたが、舞台が駅の地下通路となっていて、様々な間違いを探すというものですが、シンプルな作りなのでそれがかえって疑心暗鬼になり、異変がないのに悩んでしまったり、とても楽しめました。

１時間ほどでクリアできますのでサクッと遊びたい方にもオススメです。
人のプレイを見たことがある方も是非、一度ご自身で遊んでみてください！"
25,おすすめ,1,実は映画を先に観て、それから本作をプレイした。思ったのは、やはりオリジナルから体験すべきだったなと。リリース当時、怪作として結構話題にもなっていたと思う。それを横目にプレイしなかったことも少し後悔した。
26,おすすめ,2,初めてプレイした異変探し系ゲームはコレです、とても面白く色々な方に勧めたいです。
27,おすすめ,0,1回クリアしたらもうやらないゲーム
28,おすすめ,2,値段に見合っています長くは遊べません遊べても3時間です
29,おすすめ,1,deep game
30,おすすめしない,0,うまらん
31,おすすめ,3,good
32,おすすめしない,0,"楽しそうってわくわくしながら買った
一瞬で終わった、なんか寂しかった"
33,おすすめ,1,名作
34,おすすめ,0,"[H1] 異界と化した地下道からの脱出 [/H1]

ループする地下道を歩きながら、隠された「異変」（アノマリー）を探し出していくというウォーキングシミュレーター。

舞台となるのはほんの10メーター程度の地下道なのだが、素っ気ない内装や人の気配の少なさが、いかにもオフィス街にある地下道を日曜に歩いているという趣きで、そこはかとないリアルな怖さがある。

ゲームをクリアするには、ラウンドごとに「異変がある」あるいは「異変がない」のどちらであるかを正しく判断し、規定回数を連続して正解しなければならない。

ちなみに異変とは何ぞやという話だが、見つけてさえしまえば明らかに異様な部分なので、そこの部分で判断に迷うことはないはず。
ただし観察力の盲点を突いたかのように巧妙に隠されているものや、素早い対応を求められる異変もあり、なかなかに大変であった。
異変の種類にはそれなりのバリエーションがあり、ランダムに出題されるようだ。


プレイ時間の割には楽しめる作品だが、個人的にはどこをどう設定しても酔いやすいのがつらかった。


[table]
    [tr]
        [th]言語依存度[/th]
        [th]なし（日本語対応）[/th]
    [/tr]
    [tr]
        [td]難易度[/td]
        [td]★★★☆☆[/td]
    [/tr]
    [tr]
        [td]恐怖度[/td]
        [td]★★☆☆☆[/td]
    [/tr]
[/table]"
35,おすすめ,2,"話題になっているゲームだからとプレイ。
みんなやってるから楽しいゲームなんだろうなと思っていたら、想像以上に怖くてガチビビりました。
でもさすが雰囲気があって面白い。価格もそんなに高くもないので、話題についていくという意味でも、プレイして損はないかと思います。"
36,おすすめ,6,b
37,おすすめ,368,"無限にできる最高のゲームです。RTAなどにも挑戦し、ふと暇な時間があると起動してプレイしていました。もはや生活の一部になっていた言っても過言ではありません。また、夏の映画公開に伴い、アップデートがあったことでさらに楽しく遊ぶことができました。
まず、グラフィックが非常に綺麗で、一人称にも関わらずプレイをしてみると酔いなどがほとんどなく快適に遊べます。曲がったり、引き返したりが多いゲームですがゲーム酔いの心配もありません。
数十時間プレイしたあたりで全ての異変を暗記してもうやることはないかと思いましたが、その知識を有したうえで遊んでも、一見では分からない異変や稀に見逃してしまうものなどあり、どれだけ遊んでも飽きはこないと思います。
さらに上で言及した通り夏の映画公開に伴い追加された異変によりマンネリが解消されさらに長く遊べるゲームになっていると思います。

魅力は、ジャンプスケアがないため、どんどん進めるにも関わらず、常にリミナルスペースなどで感じられるような閉塞感や不気味さがあり、出口へたどり着いた時の解放感です。
また、誰かと話しながらや片手間にプレイできることでさらに中毒性が増しているのではないかと思っています。

来年も遊びます。
素敵なゲームをありがとうございます。"
38,おすすめ,1,いろんな異変があっておもしろかったです！
39,おすすめ,2,"新鮮なゲームシステムで面白い
短時間でチャレンジできる点も良い"
40,おすすめ,1,"めっちゃ怖かったです。
クリアしてないけど二度とやりません"
41,おすすめ,4,謎解きとか脱出系が好きな方はぜひ！映画もあるので、いつか見てほしいです。
42,おすすめ,1,たのしい
43,おすすめ,3,"間違い探し的なゲーム
CSばりにぬるぬるした動きで
3D酔いする人はだめかもしれん

全実績解除は簡単
買い"
44,おすすめ,12,yoki
45,おすすめ,1,ナイスなゲームナイス映画化
46,おすすめ,3,"なぜ親指を立てるのか、それは安いからだ。

とにかく発想がいい。
間違い探しをする。操作は見ること、移動すること。
この時点で勝ちなんです。
なぜならやることが「視点移動」と「キャラ移動」で完結するからです。
残りの要素は全部頭の中で行う。
この手軽さがいい。入り口がすごく簡単に思えますよね。これくらいなら簡単かつすぐに満足できるだろうって予測ができる。
そこにこの価格ならば買ってしまいますよね。
つまり流行るべくして流行ったゲームなんですね。

迷ってこのレビューを読んでるくらいならプレイしてみたらいいですよ。"
47,おすすめしない,0,"他の間違い探しゲームをやったことのある人であれば超簡単

他の間違い探しゲームとは違い、眺めていれば簡単に違いを発見できます。
私のようにそうゆうゲームをある程度やってきて難しいのを求めている人には、おすすめできません。
私は８分くらいでクリアしてしまい間違いの内容も簡単すぎて、それ以降やる気にならず開いていません。"
48,おすすめ,2,kamige-
49,おすすめ,3,普通に面白かった。間違い探しだから1回きりのゲームだけど、満足度はある。
50,おすすめ,1,"ジャンプスケアはほぼないものの、その不気味さが逆に怖い。

やっと7番まで乗り越えてきてうっかりして0番に戻るのエグすぎる。"
51,おすすめ,7,見てないとき近づいてくるおじさん怖い
52,おすすめ,1,"4K解像度も対応していてグラフィックも綺麗です。
全異変コンプリートまで頑張りたいです。"
53,おすすめ,1,『着信アリ』みたいな感じで、題名から多くの人が一気に興味を持った作品。やっぱりセンセーショナルで覚えやすい題名って大事なんだなと改めて認識できた。そして地下鉄の駅構内という、凹凸が極端に少ない場所を舞台にすることで、個人制作者なのにフォトリアルなグラフィックのゲームに仕上げることができている。通常、3Dグラフィックは凹凸、すなわちポリゴン数が多くなればなるほど制作が大変になる。しかしこの開発者は、舞台選びはもちろん「同じ場所をループする」というP.T.的なゲーム進行にすることで、アセットの量が極端に少なくても成立するゲーム体験を実現させている。これは本当に素晴らしいセンスだと思う。しかも、真っ白で凹凸の少ない駅構内だからこそ、間違い探しがやりやすく、遊んでいて理不尽さを一切感じない。多くの個人制作者は本作から学ぶことが沢山あるはず。
54,おすすめ,2,"基本要素が通路一本のみと非常に小規模なので、異変のバリエーションが沢山あるのかと思ったが、意外と多くはない。
何かありそうで毎回凝視していた箇所に結局何の異変も仕込まれていなくて徒労感に襲われたりしたが、それもまた間違い探しの面白いところなのかも知れない。"
55,おすすめ,1,"たまに全然わからない異変がありますが大体は見てれば気づく異変でした。あまり”ホラー”という感じではないですが雰囲気など少し不気味な感じです。個人的に友達に画面を見せてワイワイするのをお勧めします。

映画記念で異変が増えたようですがまだ確認していないので楽しみです。"
56,おすすめ,2,間違い探しホラーという新ジャンルの面白さを世界に教えてくれた
57,おすすめ,1,
58,おすすめ,1,"すべての異変を見つけた。
意外と異変もわかりやすく、さくさくすすんでとても面白かった👍"
59,おすすめ,1,"不気味な雰囲気が良い
地味な異変から派手な異変までバリエーションが豊富で面白い"
60,おすすめしない,1,ラストの伏線回収がアツすぎた、、、、！
61,おすすめしない,5,MUZUKASII
62,おすすめ,1,"一応ホラゲーだけどおもろい
ホラゲー無理な人でも意外とできる"
63,おすすめ,4,"意外と怖い要素がある！
ゲーム自体はとてもシンプルで、異変を探して進むか戻るか

隙間から…とかちょっと怖い要素あるけど、異変には寄らずダッシュで戻る！！

映画化されたね～怖いけど見に行くかも迷う。

異変ないと思って進んで、０番出口だった時の絶望感はパネェっす
私は２時間でクリアして全異変もとってたらしい、いやわからんわｗ"
64,おすすめ,3,"ただただ地下道を歩いてるだけなのにドキドキします。
あまり追加コンテンツに課金しない派ですが、課金してしまいました。
映画見に行こうかな？"
65,おすすめしない,0,gomi
66,おすすめ,2,シンプルで面白い
67,おすすめしない,1,★☆☆☆☆
68,おすすめ,3,面白い。癖になるグラ
69,おすすめ,1,"映画を見てｐｃでも買うことにしましたルールは単純なためとてもわかりやすくただ異変を
探すだけですがたまにわかりにくい異変があり見逃してしまうことがあります
このゲームはとても面白いです
東京メトロの謎解きもやりましたがとても面白かったです
映画も原作と同じ異変もありましたが新しい異変もありました
まだ２１個異変が残っているので探してみます😊"
70,おすすめ,3,"すべての異変を発見し、クリアしました。
3Dの間違い探しのようで、とても楽しいゲームでした。"
71,おすすめしない,0,"視点がマジでごみ
ゲームの内容とか以前の問題
世界で一番無駄な金の使い方ｗ
映画になっとるからおもろいと思ったｗひょうしぬけｗ"
72,おすすめ,8,面白いです。
73,おすすめ,2,"シンプル設定で異変を探すだけなのにワクワクドキドキして楽しかったです！
ミスって0に戻ると絶望するけれど、「8回こなせばクリアできる」という数字だけ見ればサクッとクリアできそうなところに救いがあるように感じ、めげずに済むため良い塩梅だと思いました。


ネタバレにならない内容ですが、念の為。
[spoiler]映画鑑賞記念に再び遊びましたが、追加された異変が映画で見たやつだ！と進研ゼミのようで楽しかったです。[spoiler]"
74,おすすめ,1,Good！
75,おすすめしない,0,とても重いんですけどどうしたらいいですか？😢😢😢
76,おすすめ,0,"コスパよし
攻略サイトやYoutube実況を見ずにコンプリートできたら楽しいかも"
77,おすすめしない,1,"これたぶん多人数でワイワイやる実況用のゲームです
気付けなかった間違いは何度やってもほぼ気付けないので
寝て頭を切り替えるとかしないと終わりません
そして細かく画面を見ないといけないのでめっちゃ酔う…
気分が悪くなるので繰り返しプレイが辛かったです"
78,おすすめ,5,"裏技もうはした！
すべての異変見つけた！"
79,おすすめ,0,おもしろかったです。
80,おすすめ,5,"値段分は楽しめた

細かい間違い探しが主
無音の中でたまに効果音が鳴ると怖いけど音が鳴った時点で明確な異変（ユーザーにとってのご褒美）なのでその絶対量が少ないし、音もなくヌルっと忍び寄る…という異変もあるけど多くはないのでホラーなんだけどちゃんとわかりやすく怖い要素は決して多くはないというアンバランスさがあった

ギミックの量自体は多くて怖さやゲームのボリュームは程々というところが良かったように思う
ミス無く違和感に気づくのかそのまま通すかというプレイフィールはPapers, Pleaseに近いものを感じた"
81,おすすめしない,2,酔う
82,おすすめ,0,"全異変を確認しましたが、
ホラーが苦手な私でもクリアできる程よいホラーと難易度でした。"
83,おすすめ,5,ルールが単純で攻略を見なくても誰でも何度でも楽しめるゲームです。
84,おすすめ,1,ものの90分で終わったが面白い。
85,おすすめ,3,"映画鑑賞前に予習がてらプレイ
とても楽しめた
クリア後は未回収の異変のみが出てきたため、とてもストレスフリーだった"
86,おすすめ,0,"リソース管理でもなく戦闘でもなく、先に進むか戻るかというすごくシンプルなルールで遊びを成立できて素晴らしい。

異変を見逃しスタートに戻されても、どうしてももう一度やり切りたい気持ちになる。最後に出口までくぐり抜けた時の達成感がすごい。それでも、またやり直したい。"
87,おすすめ,4,"よくこんなゲームを思いつくもんだと感心した。
そりゃ皆フォローするって。
単なる一発アイディア勝負で終わっていなくて
フォトリアルなグラと繰り返し出てくるおっさんで
怖さと笑いを両立している。
異変もそこそこの種類があるので全部見たくて
通路を走り回ってしまう。
久々にいいゲームを買った。"
88,おすすめ,12,"個人的にすごく楽しめました！
値段も安く、グラフィックのクオリティもすごく満足度もすごい！すごいのオンパレード！
わかりやすい異変から少しわかりにくい異変もあるけどちゃんと注意してみていけばわかるレベルでちょうどよく本当に楽しかった！
ホラー要素は少なめだと思います。
やっていると疑心暗鬼になってぐしゃぐしゃになることもあると思うけどクリアできたときにめっちゃうれしいからみんながんばれー！！！"
89,おすすめ,1,すべての異変を見つけるまで出ることができませんでした。僕は二宮和也です。
90,おすすめ,1,目が見えません
91,おすすめ,2,"ドア良し！ポスター良し！天井良し！おじさん良し！異変無し！先に進むぞ！

？？？「いったい何を見て良しといったんですか？」

そういうゲーム。"
92,おすすめ,1,"実況動画をさんざん見てきたはずなのに、いざ自分でプレイしてみると意外に難しかった。
異変探しに集中してしまうので、ジャンプスケアで結構びっくりして良い。"
93,おすすめ,1,"SNSで話題になったゲーム。
少しホラー要素がありながら間違い探しをするゲームです。
だいたい1時間ぐらいで終わるので、メインゲームの合間だったり、コミュニティで画面共有しながら楽しんだりしました！！！
低価格なのに、とても満足しました。"
94,おすすめ,1,"実際、あまりこわくないんだけど、自分で恐怖をふくらませてしまうタイプのホラーというのかな。
お化け屋敷的なｗ

ただ、3Ｄ酔いしやすい人は注意。"
95,おすすめ,1,"このゲームを考えた人は天才です。
恐かった。その一言に尽きます。
このゲームが怖くなかった人は、
とりあえず病院に行って検査をしてください。"
96,おすすめしない,1,"[h1]ホラーゲームとして完璧…だが、個人的には絶対にオススメしない[/h1]
さきにお伝えします。わたしは今からこのゲームを手放しで絶賛します。しかし、このレビューの結論は[b]「個人的には誰にもオススメしない」[/b]というものになるでしょう。

[h2]プレイヤーを尊重する、至高のホラー体験[/h2]
このゲームは、ホラーというジャンルに新風を吹き込みました。従来のホラーゲームがプレイヤーに[i]「異変＝恐怖」[/i]と決めつけ、強制的に進ませるのに対し、本作は[b]異変から目を背け、引き返すことを許容している[/b]点です。プレイヤーの選択を尊重するこのシステムは、ホラーゲームの新しい形を示してくれました。
このゲーム性は、ホラーゲームに新風を吹き込む程度ではありません。もはや新しいジャンルといっても過言ではないでしょう。現に、このゲームの大ヒット後、いわゆる「8番ライク」や「8番出口ライク」といったものが多数生み出されたことが、それを証明しています。
さらに、その肝となる[b]異変の種類やパターンが非常に豊富で、何度プレイしても飽きさせません[/b]。些細な違和感から背筋が凍るような出来事まで、プレイヤーの判断と好奇心を巧みに揺さぶる演出の数々は、まさに製作者の熱意とセンスの賜物です。

[h2]財布にもPCにも優しい、稀有なゲーム[/h2]
本作は、その内容の素晴らしさだけでなく、[b]PCへの負担が少ない軽快な動作[/b]も特筆すべき点です。最新のハイエンドPCでなくともスムーズに動作し、[b]お財布にも優しいお手頃な価格[/b]で提供されています。
まるで「誰にでもこの素晴らしい体験を届けたい」という開発者のメッセージが聞こえてくるようです。スペックを気にせず気軽にプレイでき、さらに値段も手頃。これだけの内容とコストパフォーマンスを両立させたゲームは、本当に稀有な存在でしょう。
[hr][/hr]
ここまでであれば、わたしは全Steamユーザーに手放しでおすすめしたい一作です。

[h2]絶対に許容できない致命的な問題[/h2]
ここからが、私がこのゲームを「絶対にオススメしない」と断言する理由です。
本作の[b]実写映画化にあたり、主演に選ばれた俳優[/b]がいます。その俳優に対する個人的嫌悪感は議論の対象外としても、彼の元の所属先が、社会的に大きな問題となった[b]性加害問題を起こした組織[/b]であることは見過ごせません。その俳優を起用するということは、[b]開発会社がその問題を容認している[/b]としか思えません。
あまつさえ、その映画化を記念して異変を追加するアップデートまで行いました。この行為は、「開発会社が性加害問題を容認している」と私に理解させるに十分でした。
※実際に容認しているとまでは断定していません。あくまで個人の感想としてそのように思うという発言であるとご理解ください。
また、その俳優がゲームで明確に描写されない「プレイヤー」を演じている点も問題です。ゲームの世界観では、[b]映り込みを含めてプレイヤーは表現されない[/b]という演出がなされています。しかし、映画化によって彼がプレイヤーとして登場することで、今まで存在しなかったプレイヤーキャラクターが露骨に形成されてしまいました。今度は「映り込まないこと」が、明確な違和感となって顕現したのです。
この違和感は情報公開後のプレイフィールを大きく損ねるでしょう。現に私はアップデートによる異変の追加後、プレイする気が起きないのです。

[h1]総評：ゲームは素晴らしい。しかし…[/h1]
[b][i]ホラーゲームとしては完璧です。[/i][/b]
[b][i]誰でも気軽にプレイできる、素晴らしい作品です。[/i][/b]
しかし、私は開発会社の、社会的な問題に対する姿勢を容認することはできません。どれだけゲーム内容が優れていようとも、倫理的な観点から、このゲームの購入を人に勧めることはできないのです。
もちろん、ゲームの批判と映画の批判は別にするべきという主張も理解します。しかし、これほどの売れ行きとなったゲームの実写映画化が、社会的問題をまったく加味しないというのは、社会に対する無責任であると強く非難したいです。
[b]ゲームが持つ魅力と、それが世に送り出される過程で生まれた不信感。[/b]
このレビューは、私にとってこのゲームが、その両極端な感情を抱かせる作品であることを示しています。
だからこそ、わたしはこのゲームを[b][u]個人的には絶対にオススメしません。[/u][/b]"
97,おすすめ,0,"めちゃくちゃネタバレ踏んでてあっさりクリアしちゃったけど、それでも結構楽しめました。
異変へのびっくりがなくても、ミスると０からやり直しになるスリルが単純にゲームとして面白い。"
98,おすすめ,0,29分でクリアできました。異変が残り24個あるので頑張りたいと思います！面白いゲームをありがとう
99,おすすめ,0,"映画を観たので原作を遊びました。
異変の再現度が高いと聞いていたので、映画みたらクリア余裕やろ～と思って挑みましたが、1時間やって挫折しました。こんな異変、二宮は体験してなかったぞ！"
100,おすすめ,0,"[h1] 映画を観る前にクリアできてよかった。 [/h1]
プレイ中は異変があるか無いかで疑心暗鬼になりやすく、
「え～い、ままよ！」と勘で突き進んで成功したときは脳汁がでますが、外した時は台パンしてました。"
